candidate	disposition	estimated_lines	evidence	behavior_contract	verification	confidence
SECTION Components Found	explorer-template	n/a	internal/transfer owns Git-specific access planning, resolved HTTP and Globus download adapters, metadata batching, upload scheduling, and progress contracts. internal/remoteruntime builds GitContext from configured remotes and credentials. internal/lookup owns bulk checksum lookup, DRS record projection, and scope filtering. cmd/pull, client, cmd/filter, cmd/smudge, cmd/push, and remote/add are the direct command or client boundaries.	Syfon remains the byte-transfer and generated-service boundary. Git scope policy, LFS cache and pointer rules, Globus routing, metadata reuse, and CLI progress remain local.	Source and call-site inventory completed with rg and exact line reads.	high
SECTION Flow	explorer-template	n/a	remoteruntime.New resolves the configured remote into GitContext. cmd/pull and client.Client.Pull use lookup.ObjectsByHashesForScope or ObjectsByHashForScope, plan access through internal/transfer, then call DownloadResolvedToCachePath or DownloadToPath. cmd/push calls BatchSyncForPushWithSummary, which normalizes OIDs, performs scoped or legacy lookup, registers metadata, selects payloads, and calls uploadFileForObject. uploadFileForObject hands bytes and scoped metadata to Syfon transfer/upload. Resolved downloads use resolvedSource, which applies access headers, refreshes 401/403 URLs, maps permanent errors, and delegates ranges and retries to Syfon.	Preserve lookup normalization, project scope filtering, access-method ordering and readiness, cache cleanup, placeholder checksum behavior, upload threshold/concurrency, and user-facing progress callbacks.	Focused baseline: go test ./internal/transfer ./internal/lookup ./client ./cmd/pull ./cmd/smudge passed. remoteruntime, cmd/filter, and cmd/remote/add network-style tests were blocked by sandbox httptest tcp6 bind.	high
SECTION Files Read	explorer-template	n/a	Core files read include internal/transfer/{download.go,access.go,push.go,push_runtime.go,globus.go} and focused transfer tests; internal/remoteruntime/{runtime.go,credentials.go,bucket_lookup.go,runtime_test.go}; internal/lookup/{lookup.go,scope.go,lookup_test.go,scope_test.go}; client/{client.go,etl.go}; cmd/{pull/main.go,filter/main.go,smudge/main.go,ping/main.go}; cmd/remote/add/{api.go,gen3.go,local.go,bucket_lookup.go,init.go,add_test.go}; internal/lfs/object_path.go; internal/bucketselection/{bucketselection.go,bucketselection_test.go}; and .audit/package-waves/transfer-reuse-implementation.tsv.	The inspection was read-only. No production or test source was edited.	The requested instruction files and explorer template were read in full before source inspection.	high
SECTION Boundaries	explorer-template	n/a	remoteruntime hands commands a mutable GitContext containing Syfon Client, scope, credentials, capability flags, and transfer policy. lookup hands callers normalized DRS objects and scope-filtered records. transfer hands commands cache/path downloads, bulk access URLs, Globus batches, upload summaries, and renderer events. client.Client adds non-Git checkout safety and final size/SHA verification. cmd/remote/add and cmd/bucket translate CLI or embedded setup into persisted configuration and generated Syfon requests.	Do not collapse these boundaries into generic Syfon calls unless the local policy and error/output contract is proven equivalent. The existing transfer-reuse audit already rejected broad substitutions.	Call-site scans cover all proposed symbols and their direct callers.	high
SECTION Non-Obvious Things	explorer-template	n/a	internal/transfer/download.go currently has no downloadResolved wrapper, so the earlier inline candidate is already realized and must not be re-proposed. BatchSyncForPush is also absent as a live wrapper. uploadBackendForRuntime, newGlobusClient, newBucketHTTPClient, Cobra flag variables, and cmd/pull test seams are mutable package-level factories or state, but each is currently an injection seam rather than transfer policy. cmd/remote/add, internal/remoteruntime, and cmd/ping intentionally differ in bucket fallback, preferred-bucket handling, and human-readable errors.	The recommended changes below avoid changing Syfon operation selection or transport semantics. Bucket-policy consolidation is conditional because preserving the three distinct error contracts is part of the behavior.	The previous Syfon compatibility and LOC audits were consulted to avoid repeating rejected direct-import proposals.	high
SECTION Open Questions	explorer-template	n/a	A shared bucket selector needs an explicit result and error contract for project-first then organization fallback, preferred buckets, ambiguity, and ping’s no-preference behavior. Removing global test factories needs either constructor plumbing or per-call dependencies; do not merge that into a broad refactor. The push behavior tests that call needsUpload directly should be rewritten around candidate selection or the push summary before deleting that helper.	These are design and verification questions, not reasons to replace local access, Globus, metadata, or credential policy with Syfon.	Run focused tests after each small change and the full repository suite after the accepted wave.	medium
1 transfer.uploadBackendForRuntime	delete mutable package seam; inject backend into pushRuntime	approximately 6 production lines plus test seam rewiring	internal/transfer/push_runtime.go:24-29 declares uploadBackendForRuntime as mutable package state. Its only production call is uploadFileForObject at :180. newPushRuntime at :53-74 already owns the runtime assembled from GitContext, and the existing factory returns rt.API.Client.Data() or nil. Tests mutate the global at push_runtime_test.go:78-87 solely to provide a fake backend.	Add a Backend sytransfer.MultipartBackend field to private pushRuntime and populate it from cl.API.Client.Data() in newPushRuntime. uploadFileForObject should retain the nil check and exact "upload backend is required" error. Syfon upload selection, scope metadata, multipart forcing, and error wrapping remain unchanged.	Baseline go test ./internal/transfer passed. After the edit run go test ./internal/transfer -run 'TestUploadFileForObject|TestScopedUploadMetadata' -count=1 and the full internal/transfer package.	high
2 transfer.needsUpload	inline and delete the one-caller adapter; rewrite its implementation-coupled test	approximately 6 production lines plus one test rewrite	internal/transfer/push.go:611 calls s.needsUpload once. The method at :652-657 only returns s.rt.Tuning.ForceUpload or s.uploadRequired[oid] and can never return a non-nil error. The only other reference is push_test.go:92-98, which tests the private helper rather than observed push behavior.	Inline `s.rt.Tuning.ForceUpload || s.uploadRequired[oid]` in identifyUploadCandidates, preserving the current force-upload precedence and map default false. Replace the direct helper test with candidate-selection or push-summary behavior that proves add-url objects are not uploaded.	Baseline go test ./internal/transfer passed. Re-run focused add-url, candidate-selection, and push integration tests after rewriting the test; then run the full internal/transfer package.	high
3 transfer.hasLocalPayload	inline and delete the one-caller adapter	approximately 5 production lines	internal/transfer/push.go:646-650 defines hasLocalPayload. The only production call is ensureMetadataRegistered at :290, where the result is used once to skip unavailable historical pointers. The body only calls resolveUploadSourcePath and converts `(err == nil && ok)` to bool.	Inline the same `resolveUploadSourcePath` result at the call site and preserve the current contract that an unavailable or errored local source is treated as not actionable there. Keep resolveUploadSourcePath itself because upload candidate construction also needs its path and error distinction.	Run go test ./internal/transfer -run 'TestBatchSyncSession|TestAddURLObject' -count=1 and the full package. No test directly names hasLocalPayload today.	high
4 remote/add.ConfigureGen3	remove redundant global mutation; pass selected bucket explicitly to gen3Init	approximately 5 to 8 production lines	cmd/remote/add/api.go:18-31 saves and mutates fenceToken and selectedBucket globals before calling gen3Init. gen3Init at gen3.go:53 already receives the token as a parameter, so the fenceToken assignment is shadowed and has no effect. gen3Init reads selectedBucket only at :124. ConfigureGen3 is consumed by client/etl.go:38-44 and is the programmatic path most exposed to concurrent or nested use.	Add a bucket argument to gen3Init, pass the Cobra flag from Gen3Cmd.RunE, and pass opts.Bucket from ConfigureGen3. Remove the save/restore and both global assignments from ConfigureGen3. CLI behavior and embedded API token/bucket selection stay identical while the API stops changing process state.	Run go test ./cmd/remote/add ./client -run 'Test(AddCmd|Gen3Cmd|ParseScopeArg|ConfigureGen3Remote)' -count=1 plus the bucket-resolution tests. The full add package baseline is blocked only by sandbox httptest tcp6 binding.	high
