package	production_lines	test_lines	responsibility	large_files	delete_candidates	move_or_inline	compatibility_constraints	evidence	confidence
./	35	0	Binary entrypoint: initialize logging and dispatch either the hidden credential helper or the public Cobra root command.	git-drs.go (35)	none	keep dispatch here; it is the only main entrypoint and should remain thin.	The credential-helper argv path and normal Cobra execution are CLI contracts.	git-drs.go:10-34; imported by the built binary; no other callers expected.	high
client	253	124	Public, checkout-independent API for authenticated DRS construction and direct payload pulls, plus ETL setup conveniences.	client/client.go (200); client/etl.go (53)	none supported by in-repo evidence; no internal production callers, but exported package API is explicitly intended for embedding.	client/etl.go is a deliberate public adapter over cmd/initialize and cmd/remote/add; do not inline without checking external ETL consumers. The two helpers are wrappers by design, not duplicate transfer logic.	Exported Options/Client/File/PullOptions and ConfigureGen3Remote/InitializeRepository signatures are external compatibility surface.	client/client.go:1-200; client/etl.go:1-53; client/client_test.go exercises New and Pull; rg finds no in-repo client import/call sites.	high
inventory	75	59	Public immutable inventory API that reads committed Git-LFS pointers for one ref, filters prefixes, normalizes hashes, and sorts paths.	inventory/inventory.go (75)	none; no internal production call sites, but List/Pointer/Options form an explicit public package API.	none; normalization and exclusion are package-specific policy, not generic helpers.	Exported List, Pointer, and Options are external API; behavior reads committed Git blobs rather than hydrated worktree files.	inventory/inventory.go:15-75; inventory/inventory_test.go validates committed-pointer behavior; rg finds no internal importer.	high
cmd	70	0	Root Cobra command registry and public command-tree metadata for the git-drs CLI.	cmd/root.go (70)	none	keep registration centralized; command packages own their handlers.	Root command names, hidden filter/precommit commands, and Cobra help output are CLI compatibility.	git-drs.go:8,31; cmd/root.go:5-69 imports/registers every command package.	high
cmd/auth	67	17	Authentication command group and Globus login/status/logout CLI adapter.	auth/globus.go (55); auth/main.go (12)	none	keep Globus policy in internal/globusauth; this package is the CLI boundary.	The auth subcommand and action names login/status/logout are user-facing CLI contracts; scope flag is part of automation behavior.	cmd/root.go:5,33; auth/globus.go:12-59; globus_test.go checks lifecycle names and scope flag.	high
cmd/clean	58	0	Hidden Git clean-filter command that converts stdin payloads into cached LFS pointers and records DRS mapping.	clean/main.go (58)	none	keep stdin/stdout and git-filter orchestration here; hashing/cache behavior belongs to internal/filter and internal/lfs.	Git clean filter command string and one pathname argument are configured by git and documented as compatibility behavior.	cmd/root.go:12,41; clean/main.go:17-58; internal/filter.CleanContent is the delegated core.	high
cmd/credentialhelper	174	66	Hidden Git credential-helper bridge that resolves repository remotes and returns token/basic-auth credentials over stdout.	credentialhelper/main.go (174)	none	No wrapper/dead package evidence; readCredentialRequest, resolveRemote, and host matching are boundary parsing/policy needed by the helper.	Git invokes `credential.helper=!git drs credential-helper`; exact get/store/erase actions and username/password protocol are compatibility contracts.	git-drs.go:22-28 dispatches it; cmd/root.go intentionally excludes it; credentialhelper tests cover request parsing and endpoint matching.	high
cmd/filter	126	71	Hidden long-running Git filter-process command wiring internal clean/smudge handlers to DRS/Terra transfer resolution.	filter/main.go (126)	none	`makeSmudgeHandler`/`makeCleanHandler` are command-boundary adapters; no evidence they are removable. `normalizeDRSOID` is duplicated by cmd/smudge/main.go:77-79; consider one shared resolver/URI helper or one canonical package before editing.	Git filter-process protocol and configured command `git-drs filter` are compatibility contracts.	cmd/root.go:19,43; filter/main.go:26-126; filter test exercises Terra resolver path; rg shows duplicate DRS OID normalization in cmd/smudge.	high
cmd/install	67	57	CLI installer that writes global Git filter configuration for clean, smudge, process, and required settings.	install/main.go (67)	none	keep command runner injection for tests; installGlobalFilterConfig is core policy, defaultGitConfigRunner is the I/O edge.	Exact global filter keys/commands are persisted Git configuration and must remain stable unless migration is intentional.	cmd/root.go:16,53; install/main.go:17-67; install tests assert all four git-config writes.	high
cmd/preset	40	37	Preset inspection command that lists and displays built-in DRS endpoint/authentication presets.	preset/root.go (40)	none	keep output formatting and sorting at CLI boundary; catalog parsing belongs to internal/presets.	`preset list`/`preset show` names, fields, aliases, and catalog-version output are user-facing CLI behavior.	cmd/root.go:17,52; preset/root.go:7-40; preset tests assert all built-in aliases and auth types.	high
