metric	value	method	caveat	verdict
tracked_file_count	292	git ls-files --cached, then .audit/loc-audit.sh tracked	Counts tracked paths with current worktree contents, not HEAD blob contents; .audit is excluded by the script	confirmed tracked inventory
worktree_file_count	293	git ls-files --cached --others --exclude-standard, then .audit/loc-audit.sh worktree	Adds only internal/transfer/push_runtime_test.go; ignored untracked files remain out of scope	confirmed current worktree inventory
tracked_go_production	107 files; 17,829 physical; 15,631 code; 568 comments; 1,630 blanks	git ls-files '*.go' excluding *_test.go piped to tokei with all ignore rules disabled	Code is tokei's syntax-aware count, while physical is source-file line count	confirmed
tracked_go_tests	79 files; 12,902 physical; 11,486 code; 92 comments; 1,324 blanks	git ls-files '*_test.go' piped to tokei with all ignore rules disabled	Tests are almost half of tracked Go code and explain much of the apparent 25k total	confirmed
tracked_go_total	186 files; 30,731 physical; 27,117 code	Tokei over the union of tracked Go paths	This is tracked current-content inventory, so uncommitted edits are included	confirmed
worktree_go_total	187 files; 30,908 physical; 27,271 code; 660 comments; 2,977 blanks	tokei --exclude .audit --compact . plus the 177-line untracked test file	Default directory scan is not the authoritative tracked inventory because ignore rules hide some tracked artifacts	confirmed
worktree_go_delta	1 file; 177 physical; 154 code	Difference between tracked and worktree reports; file is internal/transfer/push_runtime_test.go	Only this untracked Go test is outside the tracked set; .audit files are excluded	confirmed
production_go_share	15,631 of 27,117 Go code lines, 57.6%	Division of tokei tracked production code by tracked Go code total	The remaining 42.4% is tests, not generated implementation	25k is not production code
top_packages_by_go_physical	internal/transfer 4,571 (2,958 prod/1,613 test); cmd/copyrecords 2,309 (1,392/917); tests/integration/docker_syfon 1,995 (0/1,995); cmd/addurl 1,918 (1,159/759); internal/lfs 1,713 (1,067/646); internal/gitrepo 1,452 (878/574)	Aggregate .audit/loc-audit.sh package rows by Go kind	Package totals are physical lines and include tests where shown	The bulk is transfer, CLI orchestration, Git/LFS policy, and integration coverage
top_production_files	internal/transfer/push.go 805; cmd/pull/main.go 751; internal/config/config.go 689; internal/lfs/inventory.go 654; internal/globusauth/auth.go 543	tokei-independent file inventory sorted by physical lines from .audit/loc-audit.sh	Large files are not evidence of dead code by themselves	The largest implementation files are real workflow/configuration code
top_test_files	cmd/copyrecords/main_test.go 704; cmd/pull/pull_test.go 592; cmd/addurl/main_test.go 563; internal/config/config_test.go 502; internal/transfer/download_test.go 472	.awk inventory sorted by physical lines	Large tests reflect CLI and transfer behavior coverage	Tests materially contribute to the count
tracked_markdown	44 files; 9,334 physical lines	git ls-files '*.md' piped to tokei with all ignore rules disabled; physical totals cross-check .audit script	Directory tokei default reports only 43 Markdown files because it ignores one hidden/ignored tracked path	confirmed docs are about 9.3k lines
tracked_shell	27 files; 6,019 physical; 5,020 code	git ls-files '*.sh' piped to tokei with all ignore rules disabled	Includes E2E and integration helper scripts, not Go implementation	confirmed scripts are about 6k lines
tracked_coverage_artifacts	8 files; 96,192 newline records; 5,897,722 bytes	.audit script rows for coverage.out, coverage/, and their two .gitignore files	The two one-line .gitignore files account for 2 records; coverage data itself is 96,190 lines. Most artifacts are tracked despite ignore patterns	large non-source bulk is a repository hygiene issue
tracked_binary_docs	5,431,950 bytes across docs/git-drs-anvil.pptx, docs/git-drs-anvil.pdf, and docs/anvil-data-explorer.png	File-size inventory of tracked files classified as other	Binary newline counts are meaningless as LOC; do not include them in source estimates	large bytes, not source lines
other_line_records	118,986 newline records in 23 non-Go/non-doc/non-shell/non-config/module files	.audit script aggregation	This includes binary newline bytes and coverage output, so it must not be called code LOC	raw wc-style totals are misleading
tracked_worktree_physical_total	166,171 tracked physical line records	.audit script sums all tracked categories	Includes binary newline records and coverage output; it is not a source LOC measure	whole-repository wc is not a useful answer
generated_go_files	0	.audit script generated marker scan plus rg for Code generated .* DO NOT EDIT	No Go source file carries the generated marker in its first 20 lines	No generated Go explains the count
recognized_worktree_tokei_total	46,871 physical lines; 33,328 code	Direct tokei --exclude .audit --compact . scan	Tokei honors ignore files and hidden-directory defaults, so it omits some tracked artifacts and is lower than the complete tracked-path inventory	useful display total, not canonical scope
audit_script_scope	Correct for tracked/worktree path inventory and physical line/byte counts; no duplicate paths observed	Read .audit/loc-audit.sh and reran both modes; worktree-vs-tracked difference was exactly the untracked test	It classifies only Go, Markdown, shell, common config, and module files; other scripts/assets stay in other	adequate for the LOC audit, with explicit caveats
