package	responsibility	disposition	replacement	production_loc	removable_loc	evidence	compatibility	verification	confidence
root	The git-drs executable initializes the process logger, dispatches the hidden credential-helper path, and executes the user-facing Cobra root. keep	keep	No upstream equivalent: upstream cmd/root.go:28-65 is the syfon server CLI root, not a Git executable; retain git-drs.go main and logger lifecycle.	35	0	Local git-drs.go:12-34 has main only; local call sites are cmd.RootCmd.Execute at :31 and credentialhelper.Cmd at :22-28; cmd/root.go:31-70 owns the command tree; upstream /private/tmp/syfon-audit-20260917/cmd/root.go:28-65 registers syfon commands only.	The binary name, `git drs credential-helper` escape hatch, logger Close-on-error, Cobra exit behavior, and user-visible command tree are CLI contracts; moving to upstream would lose Git credential-helper/filter integration.	go test .: PASS (no test files).	high
cmd	The cmd package defines the git-drs Cobra root and registers/hides every Git integration and DRS command. keep	keep	No replacement: upstream cmd/root.go:39-65 registers server-oriented addurl/upload/download/list/rm commands and has no filter, hook, remote, or Git-LFS tree.	70	0	Local cmd/root.go:31-70 defines RootCmd and init; production importer is git-drs.go:7 and every command registration is explicit at :43-66; upstream cmd/root.go:28-65 is a different root.	Preserve command names, hidden `filter` and `precommit`, completion settings, and registration order expected by Git filter config and scripts.	Covered by go test . and all focused command package tests below.	high
cmd/clean	The hidden clean filter reads file bytes from stdin, stores/verifies local LFS content, and emits a Git-LFS/DRS pointer for Git staging. keep	keep	No upstream filter command; upstream client transfer APIs such as client/transfer/upload/orchestrator.go:28-37 move files but do not implement stdin/stdout Git clean protocol or local DRS pointer-map semantics.	58	0	Local cmd/clean/main.go:42-57 runClean resolves Git LFS root and calls internal/filter.CleanContent; registered by cmd/root.go:47; call-site search found no other production importer. Upstream has no cmd/clean path and no matching symbol.	`filter.drs.clean=git-drs clean -- %f`, pointer syntax, cache location, and DRS-map side effect must remain compatible with Git's one-shot clean filter.	go test ./cmd/clean: PASS (no test files); behavior is covered indirectly by cmd/pull tests and internal/filter tests.	high
cmd/filter	The hidden long-running Git filter-process command wires Git protocol v2 clean/smudge handlers to remote resolution, Terra access, local cache, and transfer downloads. keep	keep (direct-import only lower-level transfer primitives)	No upstream Git filter process. Upstream client/transfer/download/transfer.go:11-37 and client/services/data_stream.go:23-100 provide reusable backend/engine pieces, but not Git packet protocol, DRS URI normalization, skip-smudge policy, or repo cache wiring.	126	0	Local cmd/filter/main.go:41-86 runFilter loads config, creates remoteruntime.GitContext, finds LFS root, and runs internal/filter.NewGitFilter; :90-120 define makeSmudgeHandler, normalizeDRSOID, makeCleanHandler; cmd/root.go:41,46 registers and hides it; internal/filter process is the only production dependency boundary.	Git long-running filter protocol, `filter.drs.process=git-drs filter`, stdin/stdout framing, Terra resolver selection, and pointer passthrough behavior are hard Git compatibility constraints; direct client-engine replacement would omit these.	go test ./cmd/filter: BLOCKED by sandbox `httptest.NewServer` bind permission in TestSmudgeHandlerUsesTerraResolver at cmd/filter/main_test.go:36; compile reached test; no code failure observed.	medium
cmd/initialize	The init command creates repository-local .git/drs state, writes Git filter/config keys, installs the pre-commit hook, and removes the legacy pre-push hook idempotently. keep	keep	No upstream repository initializer: upstream client/client.go:102-146 only constructs HTTP clients and upstream has no Git hook/config ownership.	274	0	Local cmd/initialize/main.go:51-95 InitializeRepo, :101-146 EnsureInitialized/isInitialized, :148-183 hook/config checks, :201-274 hook install/removal; callers are client/etl.go:9,52 and cmd/remote/add/{gen3,local,terra,unified}.go:25-86; cmd/root.go:43 registers Cmd; upstream client has no matching symbols.	Git config values (`filter.drs.*`, `drs.*`), hook marker and backup naming, repeatability, and legacy pre-push repair are repository compatibility contracts; replacing with upstream New would be destructive/incomplete.	go test ./cmd/initialize: PASS.	high
cmd/install	The install command writes the global Git clean, smudge, process, and required filter settings through `git config --global`. keep	keep	No upstream equivalent; upstream client/client.go:102-146 configures an HTTP client, not Git global configuration.	67	0	Local cmd/install/main.go:17-34 NewCommand and :36-67 installGlobalFilterConfig/defaultGitConfigRunner; cmd/root.go:66 registers Cmd; tests inject runGitConfig at cmd/install/main_test.go:18-68; no other production importer.	Exact global keys and values, `%f` expansion, and error reporting from Git are CLI/install compatibility constraints.	go test ./cmd/install: PASS.	high
cmd/lsfiles	The ls-files command inventories Git-LFS pointer files across local/remote Git refs, applies path globs, optionally resolves scoped DRS registration, and renders text or JSON rows. keep (direct-import DRS lookup adapter only)	keep	Retain Git inventory and output; upstream client/services/index_service.go:126-156 `IndexService.List` can replace only remote record transport after an adapter, while it does not return worktree localization, pointer OIDs, pathspec rows, or formatting.	433	0	Production files are cmd/lsfiles/main.go (`validateOutputFlags`:18, `init`:46), output.go (`printRows`:10), service.go (`defaultListRemoteRefs`:51, `defaultListGitRemotes`:75, `defaultResolveDefaultRemote`:95, `collectRows`:118, `shortOID`:240, `shortDRSOID`:254, `matchesAnyPattern`:272, `matchesPattern`:289, `globToRegexp`:301, `isLocalized`:327); cmd/root.go:15,65 is the production registration; collectRows calls internal lookup at service.go:210-213. Upstream IndexService.List is only the reusable server boundary.	Preserve `--git-remote`, `--drs-remote`, `--include`, pathspec glob semantics, short IDs, `*` localization marker, DRS status details, and JSON schema; per-object lookup batching must not regress.	go test ./cmd/lsfiles: PASS.	high
SYMBOL:cmd/lsfiles.collectRows	Mixed symbol: joins Git remote-ref/LFS inventory with optional Syfon scoped record resolution and row formatting.	replace/direct-import transport only	Use upstream client.Client.Index().List at client/client.go:222 and client/services/index_service.go:126-156 only for server listing if a response adapter preserves internal lookup normalization/scope filtering; keep local `collectRows`, path filtering, localization, and rows.	0	0	Local cmd/lsfiles/service.go:118-238 loads config, Git refs, LFS files, and calls lookup.ObjectsByHashesForScope at :210-213; upstream IndexService.List returns internal records but has no `fileRow`, DRS URI decoration, or local-file status.	A transport swap must preserve one batched request, scope filtering, duplicate OID suppression, remote fallback selection, and behavior when server lookup fails; no command LOC is removable until the adapter is proven.	Covered by go test ./cmd/lsfiles: PASS.	high
cmd/precommit	The hidden pre-commit command parses staged Git changes, warns on oversized direct Git blobs, and maintains the rebuildable `.git/drs/pre-commit/v1` path/OID/tombstone cache. keep	keep	No upstream client equivalent: upstream client services handle server metadata/data, not staged Git index inspection or local cache schema.	496	0	Production files: main.go (`Cmd` and RunE:1-24), changes.go (`stagedChanges`:13, `stagedLFSOID`:47, `stagedBlobSize`:81), git.go (`git`:14, `moveFileBestEffort`:30, `removeIfExists`:58), run.go (`run`:32-124), cache_apply.go (`handleUpsert`:13, `handleDelete`:48, `writeJSONAtomic`:73-102), warnings.go (`collectOversizedPlainGitStagedFiles`:19, `promptOversizedDirectGitCommit`:59, `humanBytes`:80); cmd/root.go:17,40,54 registers/hides it, and cmd/initialize/main.go:137,216 installs its hook.	Cache file names, JSON compatibility (`s3_url` read / `external_url` write), staged rename/delete handling, and user confirmation are local Git workflow contracts; server client replacement is inapplicable.	go test ./cmd/precommit: PASS.	high
cmd/preset	The preset command lists and displays built-in remote provider/auth/endpoint presets from the local catalog. keep	keep	No upstream preset catalog; upstream cmd/root.go:39-65 has no preset command and client/client.go:102-146 only accepts a resolved endpoint/auth.	40	0	Local cmd/preset/root.go:11-38 defines Cmd, listCmd, showCmd and their inline RunE logic; :40 registers subcommands; cmd/root.go:18,55 registers Cmd; internal/presets is the only production dependency. Upstream has no matching path/symbol.	Alias names, provider/auth text, catalog version, and output columns are user-facing configuration contracts; moving catalog ownership would change persisted preset interpretation.	go test ./cmd/preset: PASS.	high
