package	responsibility	disposition	replacement	production_loc	removable_loc	evidence	compatibility	verification	confidence
internal/transfer	Git-DRS transfer boundary: resolves scoped DRS access, maps LFS pointers/cache paths, batches metadata and uploads, adapts the Syfon transfer engine, handles Globus pulls, renders Git CLI progress, and reconciles Git deletions.	keep (mixed; see SYMBOL rows)	Direct-import github.com/calypr/syfon/client/transfer/{download,upload,engine}, client/services, client/common, and client/access for generic primitives; retain Git-specific adapters and policy.	3007	306	Local non-test production files are internal/transfer/access.go:1-307, delete_git_history.go:1-98, delete_reconcile.go:1-144, download.go:1-388, globus.go:1-228, progress_pull.go:1-184, progress_push.go:1-235, progress_render.go:1-244, push.go:1-804, push_runtime.go:1-316, types.go:1-59 (2759 nonblank/3007 physical); production callers include cmd/pull/main.go:115-251, cmd/push/main.go:102-103, client/client.go:150-166, cmd/filter/main.go:90-102, and cmd/smudge/main.go:66-83; upstream generic contracts are client/transfer/types.go:18-55, client/transfer/download/transfer.go:18-37, client/transfer/upload/orchestrator.go:28-37, and client/transfer/engine/downloader.go:39-111.	Upstream covers provider-agnostic byte movement and progress callbacks but has no Git ref/LFS inventory, DRS access-policy/Globus routing, placeholder checksum, scoped metadata batch, or multi-file Git checkout contract; preserve .git/lfs/objects paths, DRS URI pointers, scoped access semantics, and command output while removing only proven dead wrappers.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed; package test includes transfer, download, Globus, progress, and deletion tests.	high
SYMBOL:access-planner	Access planner and readiness selection: chooses ordered HTTPS/S3/GS/Globus/local-file methods, resolves access IDs, performs bulk /access planning, and enforces command/environment/repository policy.	keep	Use upstream client/services.DRSService.GetAccessURL for one access-ID resolution and client/access.ResourcePath/NormalizeAccessResources for resource normalization; no upstream replacement for this policy planner.	307	54	Local internal/transfer/access.go:19-307 defines ErrAccessMethodSelection, BulkAccessURLsForObjects, bulkAccessRequest, accessIDForBulkRequest, parseAccessPolicy, environmentAccessPolicy, accessPolicyFor, orderedAccessMethods, planAccessURL, accessURLForMethod, resolvedAccessReadiness, selectAccessMethod, selectAccessMethodWithPolicy, accessMethodRank, accessMethodReadiness, isHTTPURL, and isLocalFileURL; callers are cmd/pull/main.go:172-185 and client/client.go:150-166, while selector helpers are referenced only by internal/transfer/access_test.go:97-237; upstream client/services/drs_service.go:48-56 only resolves a single access URL and client/access/resources.go:9-23 only builds a resource path.	GIT_DRS_ACCESS_METHOD/GIT_DRS_TRANSFER_PROVIDER precedence, unavailable-method diagnostics, Globus credential/destination readiness, local-remote file access, and bulk planning are Git-DRS behavior absent upstream; the selector helper subset has no production importer and is removable only after test/API intent is confirmed.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed, including access planner tests.	medium-high
SYMBOL:resolved-download	Resolved download adapter: turns DRS records and signed access URLs into Syfon ReadBackend objects, dispatches DRS URI/checksum pulls to cache or arbitrary paths, refreshes expired access URLs, validates Globus payloads, and delegates byte movement to the upstream engine.	replace/direct-import (retain adapter)	Keep the resolved-URL and Globus adapters, but direct-import client/transfer/download.DownloadToPathWithOptions and client/transfer/engine.Download; use services.DataService.Stat/GetReader/GetRangeReader where a normal DRS download URL is sufficient.	388	6	Local internal/transfer/download.go:26-388 defines AccessURLForHashScope, AccessURLForDRSURI, DownloadDRSURIToCachePath, DownloadToCachePath, DownloadToPath, DownloadResolvedToCachePath, DownloadResolvedToPath, resolvedDownloadIdentity, downloadGlobusResolved, verifyGlobusDownload, hasPlaceholderChecksum, downloadResolved, resolvedSource methods Name/Logger/Stat/GetReader/GetRangeReader/download, resolvedAccessID, canRefreshAccessURL, refreshAccessURL, currentAccessURL, and permanentDownloadStatus; production calls are cmd/pull/main.go:224-251, client/client.go:154-166, cmd/filter/main.go:95-102, and cmd/smudge/main.go:75-83; local engine handoff is download.go:146 and upstream equivalents are client/transfer/download/transfer.go:25-37, client/transfer/engine/downloader.go:39-111, client/transfer/http.go:78-153, and client/services/data_stream.go:23-99,143-177.	The upstream engine supplies checkpoint/resume, range fallback, checksum identity, retries, and progress, but local resolvedSource must apply DRS access headers/401-403 refresh (download.go:313-377), local cache cleanup, DRS URI lookup, and Globus size/SHA-256 or placeholder verification (download.go:168-235); only the six-line private downloadResolved wrapper (download.go:238-243, called at download.go:116) is a safe inline candidate.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed, including range fallback, URL refresh, cache dispatch, and checksum tests.	high
SYMBOL:globus-batch	Globus batch adapter: validates globus:// source locators, enforces source/destination repository policy, groups transfers by endpoint pair, waits for tasks, and verifies/removes LFS cache payloads.	keep	No upstream Globus transfer implementation; retain internal/transfer/globus.go and call internal/globusauth.Client. Upstream only exposes the generic transfer interfaces in client/transfer/types.go:26-55 and the Globus enum in apigen/drs/drs.gen.go:26-28.	228	0	Local internal/transfer/globus.go:20-228 defines globusLocator, GlobusDownload, globusClient, newGlobusClient, isGlobusURL, parseGlobusURL, globusDestinationForCachePath, resolveGlobusDestination, normalizeGlobusRepositoryPath, transferGlobusToCachePath, DownloadGlobusBatch, and removeGlobusDownloads; cmd/pull/main.go:187-205 constructs and invokes the batch; internal/globusauth/auth.go:356-386 submits transfers and internal/globusauth/auth.go:509-543 waits for tasks.	Destination collection mapping, AllowedGlobusSources, repository-root path confinement, LFS cache cleanup, placeholder-aware verification, and the git-drs pull label are Git-specific; upstream's generic HTTP/range engine cannot replace them.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed, including mock Globus grouping, E2E payload placement, and failed-group cleanup tests.	high
SYMBOL:push-sync	Push synchronizer: inventories normalized LFS OIDs, performs scoped/bulk metadata existence and cross-scope reuse, preserves add-url/placeholder metadata, registers batches, selects local payloads, and schedules uploads with progress and configured concurrency.	keep (direct-import byte engine)	Retain Git/DRS metadata and pointer orchestration; direct-import client/transfer/upload.Upload and services.DataService multipart methods for payload movement and URL resolution.	1120	0	Local internal/transfer/push.go:25-804 inventories all batchSyncSession/PushSyncSummary/uploadCandidate functions (debug, BatchSyncForPush, BatchSyncForPushWithSummary, normalizeFiles, lookupMetadata, lookupMetadataLegacy, chunkStrings, ensureMetadataRegistered, metadataRecordForOID, missingSHA256Checksum, objectSHA256, findReusableRecord, buildReusableScopedObject, getOrCreateDRSObjectCandidate, scopedDRSObjectForPush, shouldPreserveExistingAccessMethodsForPush, firstAccessURL, parseStorageURL, identifyUploadCandidates, hasLocalPayload, needsUpload, hasResolvableAccessMethod, localObjectHasResolvableAccessMethod, executeUploadPlan, buildUploadPlanSummary, progressContextForCandidate, reportUploadStarted, reportUploadCompleted, splitCandidatesByThreshold); push_runtime.go:25-316 contains uploadBackendForRuntime, scopedUploadURLBackend/ResolveUploadURL, pushScope, pushTuning, pushRuntime/newPushRuntime, isFileDownloadable, uploadKeyFromObject, resolveUploadSourcePath, uploadFileForObject, resolveScopedUploadURL, scopedUploadMetadata, newDownloadProbe, probeDownloadURL; cmd/push/main.go:84-112 is the production importer; upstream client/transfer/upload/orchestrator.go:28-37 delegates bytes to engine and client/transfer/upload/orchestrator.go:43-217 provides single-file RegisterFile, while client/services/data_multipart.go:71-190 and data_stream.go:158-177 provide scoped multipart/URL operations.	RegisterFile is single-file and lacks Git reachable-history inventory, DRS URI exclusion, placeholder checksum namespace, cross-scope downloadable reuse, add-url metadata preservation, batch existence fallback, and configurable small/large concurrency; preserve these semantics. The upstream engine already handles retries/checkpoints/multipart safety, so do not reimplement it locally.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed, including metadata, placeholder, add-url, and progress tests.	high
SYMBOL:upload-adapter	Upload adapter subset: maps Git scope and file source decisions into Syfon MultipartBackend/FileMetadata calls, skips already-downloadable objects when requested, and selects force-multipart thresholds.	replace/direct-import	Use upstream client/transfer/upload.Upload (upload/orchestrator.go:28-37) and services.DataService.ResolveUploadURL (services/data_stream.go:158-177) / InitMultipartUploadWithMetadata (services/data_multipart.go:71-105); retain only Git source-path, scope, and skip/retry policy.	114	0	Local internal/transfer/push_runtime.go:32-39,88-102,137-237,239-286 is reached by push.go:683-727 and cmd/push/main.go:102-103; local calls syupload.Upload at push_runtime.go:227-234, while upstream client/transfer/upload/orchestrator.go:28-37 calls engine.GenericUploader and client/transfer/engine/uploader.go:150-167,216-385.	Local thresholds default to 5 GiB and may be configured; upstream engine's automatic multipart threshold is client/common/common.go:23-27's 5 GiB FileSizeLimit, but local can force multipart and must preserve scoped UploadURL parameters, object-key derivation, and hydrated-pointer checks.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed.	high
SYMBOL:progress-ui	Progress UI contracts: render multi-file pull phases/checkouts and upload files plus metadata registration using a TTY/non-TTY renderer and monotonic byte display.	keep	Use upstream client/common.ProgressEvent/WithProgress/GetOid (client/common/progress.go:5-40) and upstream engine progress emission; retain local plan/event types and multi-file renderers because upstream cmd/transferprogress/renderer.go:18-225 is single-file and has no metadata-plan or checkout-phase contract.	663	0	Local progress_render.go:13-244 defines Renderer, NewRenderer, IsWriterTTY, SetClock, SetTTY, Render, Finish, Spinner, TrimLabel, RenderProgressBar, RenderPercent, RenderPercentCapped, FormatBinaryBytes, VisibleProgressBytes, RenderByteProgress, and Spaces; progress_pull.go:8-184 defines PullProgressRenderer, NewPullProgressRenderer, render, OnPlan, OnDownloadStart, OnDownloadProgress, OnCheckoutStart, OnCompleted, Finish, and renderLine; progress_push.go:9-235 defines UploadProgressRenderer, NewUploadProgressRenderer, renderLocked, OnMetadataPlan, OnMetadataProgress, OnUploadPlan, OnUploadProgress, Finish, HadUploads, Err, renderLine, and renderMetadataLine; callers are cmd/pull/main.go:115-121 and cmd/push/main.go:102-112, with tests in cmd/pull/pull_test.go:339-439 and internal/transfer/progress_*_test.go; upstream callback plumbing is client/common/progress.go:5-40 and the single-file UI is cmd/transferprogress/renderer.go:18-225.	Local output is part of Git command compatibility: multi-file ordering, registering-metadata line, checkout state, non-TTY throttling, and error-returning Finish differ from upstream single-file ANSI renderer (which also reports speed); replacing it would change CLI output and progress lifecycle.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed.	high
SYMBOL:git-delete-reconcile	Git deletion reconciliation: scans old/new Git commits for deleted LFS pointers, checks whether an OID remains live, then deletes a scoped DRS record or removes one controlled-access resource.	delete	If this dormant feature is required, wire it into a Git push hook first; otherwise delete the unimported ReconcileCommittedDeletes path. Direct upstream operations are client/services.DRSService.DeleteObject and IndexService.RemoveControlledAccess.	242	242	Local delete_git_history.go:13-98 defines deletedPointer, collectDeletedPointers, deletedPaths, gitDeletedPaths, gitPointerOID, isZeroSHA; delete_reconcile.go:17-144 defines RefUpdate, DeleteSummary, ReconcileCommittedDeletes, collectLivePathsByOID; rg call-site search finds only the declaration and internal/transfer/delete_reconcile_test.go:61-160, with no production importer; upstream service operations are client/services/drs_service.go:33-45, client/services/index_service.go:113-123, and client/access/resources.go:9-23.	Git diff/show traversal and the local-vs-remote OID liveness rule are Git-specific, while deletion is destructive and currently uncalled in production; package tests exercise whole-record versus controlled-access removal, so removal should be confirmed against any intended future push-hook contract.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -run 'TestReconcileCommittedDeletes' -count=1 (with network binding enabled): 3 passed; complete package: 54 passed.	medium
SYMBOL:legacy-batch-wrapper	Legacy upload entry point: compatibility wrapper that discards PushSyncSummary and delegates to the summary API.	delete	Migrate any caller to BatchSyncForPushWithSummary (cmd/push/main.go:102-103), then delete BatchSyncForPush.	4	4	Local push.go:60-63 defines BatchSyncForPush; rg call-site search finds no production or test caller, while cmd/push/main.go:103 already uses BatchSyncForPushWithSummary.	No external package can import internal/transfer; deleting this uncalled wrapper preserves the current production API surface and summary behavior.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed.	high
SYMBOL:compat-types	Git-specific transfer data types and progress reporter interface.	keep	No direct upstream equivalent; upstream client/transfer/types.go:18-55 and client/common/progress.go:5-40 provide lower-level metadata/request/progress primitives only.	59	0	Local types.go:3-59 defines UploadProgressPhase, MetadataProgressPhase, MetadataPlanSummary, MetadataProgressEvent, UploadPlanFile, UploadPlanSummary, UploadProgressEvent, UploadProgressReporter, and PullFile; production callers are cmd/push/main.go:102-112 and cmd/pull/main.go:115-121 plus the transfer renderers.	The plan/metadata/checking-out phases and OID/path-rich event contract are required by Git push/pull UX and cannot be substituted by one upstream ProgressEvent without changing callers.	GOCACHE=/private/tmp/syfon-go-cache rtk go test ./internal/transfer -count=1: 54 passed.	high
