subject	verdict	category	corrected_removable_loc	evidence	risk	verification
internal/transfer/access-planner	delete test-only selectors; retain live ranking	dead/test-only	43	internal/transfer/access.go:243-296 contains selectAccessMethod, selectAccessMethodWithPolicy, and accessMethodReadiness; rg finds only internal/transfer/access_test.go callers and no production/reflection/Cobra hook. accessMethodRank at :273-280 is excluded because orderedAccessMethods at :149 calls it in production. ADR docs/access-method-selection-and-authentication.md:14-39 describe the live planAccessURL policy, not the unused preliminary selectors.	Removing the selectors requires dropping or rewriting their tests; internal/transfer is internal and no external API compatibility applies.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled; cmd/push focused tests passed.
internal/transfer/resolved-download	inline one-call wrapper	direct-import	6	internal/transfer/download.go:116 is the only production caller of downloadResolved; :238-243 only delegates to DownloadResolvedToPath with fixed DownloadOptions. The caller can invoke that existing Syfon-backed adapter directly; the actual upstream handoff is already at :146 to syfon client/transfer/download.DownloadToPathWithOptions, so this is not dead behavior.	Inlining must preserve the three option values and cache-path cleanup semantics in DownloadResolvedToPath; no external/internal API contract is exposed.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/transfer/globus-batch	keep	keep	0	internal/transfer/globus.go:160-228 is reached by cmd/pull/main.go:187-207 and uses globusauth through a local interface; upstream commit 4612d42 has only provider-neutral transfer interfaces and no Globus client. Destination mapping, repository confinement, grouping, task polling, cleanup, and checksum/placeholder verification are Git-specific.	Deleting or replacing it would remove the documented globus:// pull path and cache safety behavior; no Syfon HTTP/range primitive is equivalent.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/transfer/push-sync	keep	keep	0	internal/transfer/push.go:65-804 is reached by cmd/push/main.go:102-103; its metadata inventory, scoped existence/reuse, placeholder/add-url preservation, batching, local payload discovery, and progress contract have no equivalent in upstream client/transfer/upload/orchestrator.go:28-37. Upstream only replaces byte movement.	Replacing orchestration with single-file RegisterFile would change scoped metadata and reachability semantics; retain Git policy and direct-import only the byte engine.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/transfer/upload-adapter	keep	keep	0	internal/transfer/push_runtime.go:173-237 is reached by push.go:683-727 and already calls upstream syupload.Upload; local code supplies Git source-path/hydration checks, scope-specific UploadURL, object-key derivation, skip/retry policy, and configurable threshold.	The upstream engine does not supply Git scope or hydrated-pointer decisions; removing the adapter would lose authorization metadata or upload the wrong source.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/transfer/progress-ui	keep	keep	0	internal/transfer/progress_render.go:13-244, progress_pull.go:8-184, and progress_push.go:9-235 are reached by cmd/pull/main.go:115-121 and cmd/push/main.go:102-112. Upstream commit 4612d42 cmd/transferprogress/renderer.go:18-225 is single-file and lacks metadata-plan, checkout-phase, multi-file ordering, and error-returning Finish contracts.	Replacing it would change documented Git CLI output and lifecycle; upstream common.ProgressEvent is only callback plumbing.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/transfer/git-delete-reconcile	delete dormant implementation after caller cleanup	dead/test-only	238	internal/transfer/delete_git_history.go:13-98 and delete_reconcile.go:22-144 have no production call to ReconcileCommittedDeletes; only delete_reconcile_test.go invokes it. No reflection/Cobra registration exists. However delete_reconcile.go:17-20 defines RefUpdate, which cmd/push/main.go:154,198,216 still references from non-test helper functions, so those 4 lines cannot be removed in isolation. docs/push-production-sync-plan.md:372-385 and :464-468 explicitly reject the current push-time deletion design, while developer-guide.md:18,31 is stale and claims it is active.	Remove only after deleting/migrating the stale cmd/push helper chain and its feature-only tests, and update stale docs; otherwise compilation fails or users may infer destructive cleanup still exists. The code is destructive and must not be reintroduced as generic GC.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled; cmd/push focused ref-update/discovery tests passed.
internal/transfer/legacy-batch-wrapper	delete uncalled wrapper	dead/test-only	4	internal/transfer/push.go:60-63 only delegates BatchSyncForPush to BatchSyncForPushWithSummary; rg finds no production or test caller, and cmd/push/main.go:103 already calls the summary API. It is internal, with no reflection/Cobra hook or external compatibility surface.	Deleting is safe only with the current summary caller retained; no behavioral change to the active push command.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/transfer/compat-types	keep	keep	0	internal/transfer/types.go:3-59 defines Git-specific plan/metadata/checking-out progress events and PullFile; cmd/push/main.go:102-112 and cmd/pull/main.go:115-121 consume the types through local renderers. Upstream client/transfer/types.go:18-55 and client/common/progress.go:5-40 expose lower-level primitives only.	Removing or flattening the types changes the internal progress contract and command output; no direct Syfon equivalent exists.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/globusauth/credentials	keep	keep	0	internal/globusauth/auth.go:25-335 credential symbols are reached by cmd/auth/globus.go:25-45, internal/transfer/access.go:174-232, and globusauth's own client construction. They implement PKCE login/logout/status, environment override, owner-only token/client files, refresh persistence, and dependent data_access scopes documented in docs/globus.md and docs/access-method-selection-and-authentication.md:89-104; upstream commit 4612d42 has no Globus auth implementation.	Replacing it with generic Syfon auth would break GIT_DRS_GLOBUS_* environment/file contracts, credential readiness gating, and refresh behavior.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
internal/globusauth/transfer-client	keep	keep	0	internal/globusauth/auth.go:337-543 methods are reached by internal/transfer/globus.go:34-41,133-218 and cmd/addurl/globus_recursive.go:26-32,154-233. They submit verified/sync-level-3 tasks, poll inactive tasks, recurse/paginate hidden listings, reject symlinks, and stat files; upstream commit 4612d42 has no Globus provider implementation.	Deleting or genericizing this adapter removes the documented Globus pull and add-url workflows and their checksum/path safety behavior.	GOCACHE=/private/tmp/syfon-go-cache go test ./internal/transfer ./internal/globusauth -count=1 passed with loopback enabled.
