category	target	disposition	production_physical_lines	test_physical_lines	confidence	note
inventory	tracked Go	keep	17829	12902	high	Tokei reports 15631 production code lines and 11486 test code lines; no generated Go files.
safe-delete	internal/transfer delete reconciliation	delete after moving RefUpdate	238	254	high	No production caller; normal push is non-destructive and Gecko/Syfon owns storage audits.
safe-delete	internal/transfer BatchSyncForPush	delete	4	0	high	Uncalled wrapper around the live summary API.
safe-delete	internal/transfer download probe path	delete and simplify	57	0	high	Both upload callers pass skipIfDownloadable=false.
safe-delete	internal/transfer preliminary access selectors	delete	44	105	high	Referenced only by tests; live planning uses planAccessURL.
safe-delete	internal/lfs GetLfsFilesForRefPaths and uniquePaths	delete	43	80	high	Referenced only by tests; live historical scanners remain.
safe-delete	internal/lfs GetWorktreeLfsFiles	delete	40	58	high	Referenced only by tests; production uses GetTrackedLfsFiles.
safe-delete	internal/lfs checksum pointer writers	delete	24	31	high	Referenced only by tests; CreateDRSPointer remains live.
safe-delete	internal/config getRepo	inline	4	0	high	Private forwarding wrapper with four local callers.
safe-delete	cmd/copyrecords dead wrappers and helper	delete	23	0	high	Four forwarding/dead paths; migrate two tests to live variants.
safe-delete	cmd/addurl errorAsResponse	inline	3	0	high	One-call errors.As wrapper.
safe-delete	cmd/push obsolete ref discovery	delete	72	not-counted	high	Live push uses resolveSyncRefState and PointerInventoryForObjects.
safe-delete	cmd/rm unused oid plus cmd/smudge empty init	delete	2	0	high	No observable behavior.
safe-delete-subtotal	production Go	delete	554	not-counted	high	Immediate production cleanup; excludes comments, artifacts, Syfon replacements, and contract-sensitive consolidations.
syfon-replacement	cmd/bucket addServerBucketScope	replace with Buckets().AddScope	about 35	0	high	Add transport tests and preserve endpoint, bearer auth, accepted statuses, and local mapping.
needs-contract-check	cmd/bucket upsertServerBucket	evaluate Buckets().Put	about 35	0	medium	Current command intentionally omits organization/project fields.
consolidate	bucket-resource matching	share local policy helper	about 40	0	medium	Three copies differ in ordering, fallback, preferred selection, and errors.
consolidate	cmd/precommit atomic JSON writer	reuse internal/precommit_cache	about 29	0	high	Preserve tombstone layout and cleanup behavior.
consolidate	delete command confirmation/display	share tested helper	about 39	0	medium	Add deleteproject tests and preserve different confirmation rules.
consolidate	pull and ls-files glob matcher	share pathspec helper	about 52	0	medium	Verbatim duplicate, but add direct matcher tests first.
comment-cleanup	internal/drslog	condense stale narration	about 120	0	high	Physical-line reduction only; keep API and compatibility comments.
artifact-cleanup	tracked coverage outputs	delete generated outputs	0	0	high	Removes 96190 generated lines and 5897714 bytes; keep ignore files and generators.
keep	public client and inventory packages	keep	328	not-applicable	high	Exported library APIs despite no in-repository production importers.
keep	live transfer/Git/LFS/auth/config orchestration	keep	not-applicable	not-applicable	high	Call sites and persisted or wire contracts justify the remaining implementation.
