category	accepted_finding	exact_or_estimated_lines	confidence	caveat
inventory	Tracked Go contains 17,829 physical production lines and 12,902 physical test lines. Tokei classifies these as 15,631 production code lines and 11,486 test code lines.	30,731 tracked Go physical lines; 27,117 Go code lines	high	The 25k impression mixes production and tests. The current worktree adds one untracked 177-line test file.
inventory	No tracked Go source has a generated-code marker.	0 generated Go lines	high	Generated coverage outputs exist, but generated Go does not explain the Go total.
immediate safe deletion	Remove the unused transfer deletion reconciler after relocating RefUpdate, the uncalled BatchSyncForPush wrapper, the unreachable download-probe branch, and test-only preliminary access selectors.	343 production physical lines	high	Push already uses BatchSyncForPushWithSummary and never invokes destructive reconciliation. Gecko or Syfon owns storage audits. Remove the tests that only preserve these paths.
immediate safe deletion	Remove uncalled internal/lfs APIs GetLfsFilesForRefPaths with uniquePaths, GetWorktreeLfsFiles, CreateLfsPointer, and CreateLfsPointerWithOID.	107 production physical lines	high	Repository-wide call-site checks found only tests. These are under Go internal import rules. Keep the live historical scanner, tracked-file scanner, CreateDRSPointer, and pointer parser.
immediate safe deletion	Inline internal/config.getRepo.	4 production physical lines	high	It is a private forwarding wrapper with four local callers and no added behavior.
immediate safe deletion	Remove four copyrecords wrapper or dead paths, including the WithOptions wrapper missed by the discovery report.	23 production physical lines	high	Migrate two test callers to the live option/filter variants. Keep paging, merge, overwrite, and 413 behavior.
immediate safe deletion	Inline cmd/addurl.errorAsResponse.	3 production physical lines	high	Its sole behavior is errors.As. Preserve mapInspectError messages.
immediate safe deletion	Remove the obsolete cmd/push ref-discovery helpers and function variable. The live command uses resolveSyncRefState and PointerInventoryForObjects.	72 production physical lines	high	Delete tests that exercise only the obsolete implementation. Preserve synced-ref acknowledgement and non-destructive push behavior.
immediate safe deletion	Remove cmd/rm.removal.oid and the empty cmd/smudge init function.	2 production physical lines	high	The field is assigned but unread. The init function has no effect.
immediate safe deletion subtotal	Accepted immediate production cleanup arithmetic is 343 + 107 + 4 + 23 + 3 + 72 + 2.	554 production physical lines	high	This excludes comments, generated artifacts, optional wrappers, Syfon substitutions, and consolidations whose contracts need tests.
Syfon-client replacement	Replace cmd/bucket addServerBucketScope manual HTTP transport with Syfon Buckets().AddScope.	about 35 production physical lines	high	Add focused transport tests and preserve endpoint, bearer token, accepted statuses, and local Git mapping. This is a client substitution, not part of the 554-line dead-code subtotal.
Syfon-client replacement	Do not yet replace credential-only upsertServerBucket with Buckets().Put.	about 35 lines remain under review	medium	The generated request includes organization and project fields while git-drs intentionally omits them. Confirm server handling of omitted or empty scope fields first.
local consolidation	Consolidate repeated bucket-resource matching used by remoteruntime, remote add, and ping.	about 40 duplicated production lines	medium	First define sorting, deduplication, preferred-bucket, fallback, and error contracts. Syfon lists buckets but does not own this selection policy.
local consolidation	Reuse the canonical precommit-cache atomic JSON writer.	about 29 production physical lines	high	Preserve tombstone layout and cleanup behavior.
local consolidation	Share delete and deleteproject confirmation/display helpers.	about 39 net production physical lines	medium	Add deleteproject tests first. The commands use different confirmation rules.
local consolidation	Share pull and ls-files path matching, scope parsing, and DRS OID normalization only through owners with explicit behavior tests.	estimate not accepted into cleanup subtotal	medium	These are real duplicates, but current glob, error-text, and normalization contracts differ or lack tests.
local consolidation	Optionally inline cmd/addref.createAddRefPointer.	3 production physical lines	medium	The wrapper is live and preserves source URI by forwarding to CreateDRSPointer. It is not dead code.
comments and docs	Condense stale call-by-call narration in internal/drslog.	about 120 comment lines	high	Keep public API and compatibility comments. This does not reduce executable code.
comments and docs	Keep the 9,334 tracked Markdown lines, but correct stale claims that normal push deletes storage or DRS records.	9,334 documentation physical lines	high	Historical plans and ADRs require owner review before deletion. Documentation volume is not production Go.
generated coverage artifacts	Delete six non-empty tracked coverage profiles, HTML, and summaries. Keep the two coverage .gitignore files and generation scripts.	96,190 generated lines; 5,897,714 bytes	high	CI and repository scripts regenerate these files. This is immediate repository hygiene but not a Go LOC reduction.
keep	Keep transfer download and push orchestration that delegates payload movement and hashing to Syfon while retaining Git, cache, retry, scope, registration, and progress policy.	2,958 production physical lines in internal/transfer before cleanup	high	Syfon does not replace git-drs-specific planning and Git/LFS state. DownloadToPath is used by the public client.
keep	Keep internal/lookup, remoteruntime, resolver, globusauth, gitrepo, filter, drsobject, and precommit_cache except the named cleanup or consolidation items.	3,558 production physical lines across these packages	high	Call-site review found live behavior and persisted Git, cache, auth, DRS identity, or wire contracts.
keep	Keep the public client and inventory packages despite no in-repository production imports.	328 production physical lines	high	They are explicit exported library APIs. Static dead-code output is not sufficient to delete them.
keep	Keep integration Go tests, end-to-end shell suites, and binary documentation assets out of production LOC calculations.	2,339 test-only Go lines under tests; 6,019 tracked shell lines repository-wide; 5,431,950 binary-doc bytes	high	The integration workflow invokes the build-tagged Syfon suite. Binary newline counts are not source LOC.
correction	The discovery remainder report incorrectly grouped test Go under NON_GO and understated docker_syfon by reporting 2,355 combined Go lines. The cross-review split the counts correctly.	1,995 docker_syfon test lines plus 344 other test-only Go lines	high	Use 2,339 total test-only Go lines under tests, not the discovery narrative count.
correction	The discovery report missed copyProjectRecordsFromSourceIndexWithOptions and initially missed the direct Syfon AddScope replacement.	3 additional dead wrapper lines; about 35 replacement lines	high	Both corrections are included above. Only the dead wrapper contributes to the 554-line immediate cleanup subtotal.
