upstream_package	upstream_symbol	local_symbols	relation	action	removable_loc	behavior_evidence	callsite_evidence	pin	confidence
client/access	ResourcePath	internal/remoteruntime/bucket_lookup.go:48,52; cmd/ping/main.go:275; cmd/remote/add/bucket_lookup.go:17,21; cmd/copyrecords/scan.go:77; internal/transfer/delete_reconcile.go:54	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:9-24 trims org/project, rejects project without org, and emits canonical resource paths; local callers already use that symbol rather than reimplementing it	call sites listed above pass scope data into bucket, ping, copy-record, and delete workflows	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	AuthzMapFromScope	internal/drsobject/object.go:131-132 (direct upstream call)	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:26-38 emits nil, org-wide empty-slice, or org/project authorization maps; no local helper has this wire-shape behavior	internal/drsobject/object.go:131-133 uses the upstream map when building persisted DRS controlled_access	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	AuthzListToMap	internal/lookup/scope.go:29 (via ControlledAccessToAuthzMap); no local parser	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:40-70 accepts canonical and legacy resource paths, handles org-wide precedence, and returns nil for empty/invalid input; local MatchesScope delegates to it	internal/lookup/scope.go:25-47 converts record claims before applying Git-specific scope policy	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	AuthzMapToList	internal/drsobject/object.go:132 (via AuthzMapToControlledAccess); no local serializer	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:73-95 serializes org/project maps to canonical controlled-access paths and preserves org-wide empty slices; local code has no equivalent serializer	internal/drsobject/object.go:131-136 uses the result in DRS object construction	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	NormalizeAccessResource	internal/remoteruntime/bucket_lookup.go:64; cmd/ping/main.go:291,302; cmd/remote/add/bucket_lookup.go:59,70; no local normalizer	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:97-139 handles URL claims, organization/program aliases, project aliases, malformed paths, and canonicalizes them; local ParseOrgProject in internal/lookup/scope.go:11-23 is Git-specific ID parsing rather than equivalent normalization	call sites listed above normalize server bucket and ping resource claims before comparison	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	NormalizeAccessResources	internal/lookup/lookup.go:134; internal/transfer/delete_reconcile.go:85; no local slice normalizer	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:141-159 normalizes, deduplicates, drops invalid resources, and returns nil when empty; local callers use it directly and no private helper matches all behavior	internal/lookup/lookup.go:133-136 and internal/transfer/delete_reconcile.go:84-86 normalize persisted controlled_access before use	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	ControlledAccessToAuthzMap	internal/lookup/scope.go:29	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:161-163 composes NormalizeAccessResources and AuthzListToMap; local MatchesScope adds Git-specific missing-scope policy after this conversion	internal/lookup/scope.go:25-47 calls it for every controlled-access scope check	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	AuthzMapToControlledAccess	internal/drsobject/object.go:132	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:165-167 composes map serialization and normalization; no local equivalent can safely replace its canonicalization	internal/drsobject/object.go:131-136 uses it while constructing persisted DRS access metadata	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/access	ResourceScope	none; internal/lookup/scope.go:11-23 ParseOrgProject is not equivalent	no_match	keep upstream; no local duplicate	0	upstream client/access/resources.go:169-179 parses canonical and legacy resource paths; local ParseOrgProject parses Git project IDs split on '-' and cannot replace resource parsing	no production call site found in git-drs; retain as upstream API for other client callers	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/apierror	APIError	cmd/addurl/inspect.go:83,119; cmd/copyrecords/run.go:197; direct FromResponse callers	no_match	keep upstream; no local duplicate	0	upstream client/apierror/apierror.go:13-23 stores code/category/status/message/request metadata/headers/raw body; local code uses this upstream type and has no equivalent structured error	cmd/addurl/inspect.go:82-101 maps structured errors to Git-specific messages; cmd/copyrecords/run.go:197 uses errors.As	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/apierror	APIError.Error	none (implicit through *apierror.APIError)	no_match	keep upstream; no local duplicate	0	upstream client/apierror/apierror.go:25-43 formats method, URL, status, and body with nil/fallback handling; local wrappers preserve it through %w and do not duplicate the formatter	cmd/addurl/inspect.go:78-101 and cmd/copyrecords/run.go:197 propagate or wrap APIError values	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/apierror	APIError.ErrorCode	none; no local accessor	no_match	keep upstream; no local duplicate	0	upstream client/apierror/apierror.go:45-50 is a nil-safe accessor for parsed wire codes; no local accessor or code classification equivalent found	no direct production call site found; method remains part of the upstream error contract	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/apierror	APIError.ErrorCategory	none; no local accessor	no_match	keep upstream; no local duplicate	0	upstream client/apierror/apierror.go:52-57 is a nil-safe accessor for parsed categories; no local accessor or category classification equivalent found	no direct production call site found; method remains part of the upstream error contract	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/apierror	APIError.Is	none; errors.Is may invoke implicitly	no_match	keep upstream; no local duplicate	0	upstream client/apierror/apierror.go:59-72 matches exact codes and broad categories with nil handling; no local errors.Is implementation matches this contract	cmd/addurl/inspect.go:83-101 uses errors.As around the same upstream error; no local Is method exists	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/apierror	FromResponse	internal/lookup/lookup.go:45,95; cmd/delete/main.go:137; cmd/addurl/inspect.go:54; cmd/copyrecords/api.go:100,115,130,156,175	no_match	keep upstream; no local duplicate	0	upstream client/apierror/apierror.go:74-110 preserves request metadata/raw body, decodes nested and legacy payloads through 113-177, and derives code/category/message fallbacks; local callers directly use it	call sites listed above parse non-2xx API responses across lookup, delete, add-url, and copy-record commands	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/cloud	ObjectParameters	none; cmd/addurl/inspect.go:19-68 uses server request inputs, not this type	no_match	keep upstream; no local duplicate	0	upstream client/cloud/inspect.go:24-34 defines direct provider inspection settings including S3 credentials, endpoint, expected SHA256, and destination path; git-drs has no equivalent local parameter type	cmd/addurl/inspect.go:24-48 sends an InternalInspectObjectRequest to Syfon instead of constructing ObjectParameters	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/cloud	ObjectInfo	cmd/addurl/inspect.go:19-22,56-67; cmd/addurl/local_state.go:241; cmd/addurl/run.go:14,161	no_match	keep upstream; no local duplicate	0	upstream client/cloud/inspect.go:36-45 is the shared bucket/key/path/size/metadata ETag/time result shape; git-drs consumes this type but does not define a duplicate	cmd/addurl/inspect.go:56-67 maps Syfon response fields into the upstream ObjectInfo; local_state and run consume it	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
