candidate	disposition	estimated_lines	evidence	behavior_contract	verification	confidence
SECTION Components Found	explorer-template	n/a	cmd/root.go registers Cobra commands; cmd/addurl owns URL and Globus input, inspection, pointer and cache writes; cmd/copyrecords owns remote/local record copying; cmd/precommit owns staged-change cache updates; cmd/pull and cmd/push own hydration and synchronization; cmd/remote/add and cmd/bucket own remote and bucket setup; small commands provide Git filters, lifecycle, query, tracking, and deletion entry points.	Preserve the root CLI command names, hidden filter and hook commands, pointer formats, cache schemas, remote configuration, synchronization refs, and user-facing error/output contracts.	Source and call-site inventory completed with rg plus exact line reads. Compile-only baseline passed for all scoped command packages.	high
SECTION Flow	explorer-template	n/a	The user enters through cmd/root.go:38-67 and Cobra RunE handlers. add-url parses input then resolves a remote and writes pointer/cache/DRS metadata at cmd/addurl/run.go:50-159. copy-records dispatches local or remote source and target paths at cmd/copyrecords/main.go:50-190. precommit parses staged Git changes and applies cache updates at cmd/precommit/run.go:32-124. pull discovers pointers, prefetches records/access, downloads, checksums, checks out, and refreshes the index at cmd/pull/main.go:58-277. push resolves refs, inventories reachable pointers, synchronizes data, pushes Git, and advances the acknowledgement at cmd/push/main.go:58-145.	Preserve ordering where it affects files and refs. In particular, precommit rename migration precedes upserts, pull prefetch precedes downloads, push acknowledgement remains conditional on unavailable historical payloads, and add-url writes the pointer before best-effort cache bookkeeping.	Focused runtime tests mostly passed. Network-style httptest cases were blocked by the sandbox tcp6 bind restriction; compile-only verification passed for all scoped packages.	high
SECTION Files Read	explorer-template	n/a	Production files read include cmd/root.go; cmd/addurl/{main.go,input.go,inspect.go,scope.go,local_state.go,run.go,globus_recursive.go}; cmd/copyrecords/{main.go,api.go,local_target.go,run.go,scan.go,merge.go}; cmd/precommit/{main.go,run.go,changes.go,git.go,cache_apply.go,warnings.go}; cmd/pull/main.go; cmd/push/{main.go,sync_refs.go}; cmd/remote/{root.go,list.go,remove.go,set.go}; cmd/remote/add/{init.go,api.go,scope.go,local.go,gen3.go,terra.go,unified.go,persist.go,bucket_lookup.go}; cmd/bucket/main.go; cmd/addref/add-ref.go; cmd/clean/main.go; cmd/delete/main.go; cmd/deleteproject/main.go; cmd/filter/main.go; cmd/initialize/main.go; cmd/install/main.go; cmd/ping/main.go; cmd/rm/main.go; cmd/smudge/main.go; cmd/track/main.go; cmd/untrack/main.go; cmd/version/main.go; internal/lfs/object_path.go; internal/bucketselection/bucketselection.go; internal/remoteruntime/bucket_lookup.go. Relevant tests and prior audit TSVs were searched for call sites and contracts.	The inspection was read-only. No production or test source was edited.	Required RTK, Poteto mode, how explorer, Go-patterns, Codex mapping, investigation, laziness, reader-load, and unslop instructions were read before source inspection.	high
SECTION Boundaries	explorer-template	n/a	Cobra is the command boundary. config and remoteruntime turn flags and persisted remotes into GitContext and clients. lfs owns pointer syntax, cache identity, inventory, and tracked-file discovery. precommit_cache owns atomic path/OID JSON state. Syfon generated clients own DRS, index, bucket, and access requests. gitrepo owns Git config, refs, LFS patterns, and repository paths.	Do not replace local Git/LFS policy with a generic Syfon call. Shared helpers must preserve exact pointer/cache formats, scope fallback, access-method selection, endpoint/auth behavior, and CLI error text where users depend on it.	Run focused command tests plus direct importer tests for every accepted row, then the full repository suite after the integrated cleanup wave.	high
SECTION Non-Obvious Things	explorer-template	n/a	cmd/pull.isDRSPointerOID is byte-for-byte policy-equivalent to exported lfs.IsDRSURI. cmd/addref.createAddRefPointer is a pure pass-through to lfs.CreateDRSPointer and one test calls the private wrapper even though another test already calls the real function. cmd/remote/add, internal/remoteruntime, and cmd/ping intentionally differ in bucket fallback, preferred-bucket handling, and error wording. Cobra flag variables and injectable function variables are test seams, so they should not be deleted solely because they are package globals. The prior cache tombstone duplicate was already removed by 3388d6c8 and is not repeated here.	The safe deletion rows remove no policy. The bucket row is conditional and requires an explicit policy table before sharing code. The giant-function rows are structural only and must retain phase ordering.	Verify call-site census after each deletion with rg and run the named package tests. Keep the existing network-style tests in an environment that permits httptest listeners.	high
SECTION Open Questions	explorer-template	n/a	A shared bucket selector needs an explicit result contract for project-first versus organization fallback, preferred buckets, ambiguity, and ping's no-preference rule. A shared precommit cache updater must distinguish repository-relative paths from add-url absolute paths and preserve add-url external_url recording. Pull and copy-records phase extraction needs tests that observe command outcomes rather than only private helpers.	These are design and verification questions, not reasons to delete compatibility commands or collapse all command state into a new abstraction.	Use table tests for bucket policy, cache state tests for external URLs and stale OID removal, and command-level tests for extracted pull and copy-records phases before accepting those rows.	medium
1 addref.createAddRefPointer	delete pass-through and move its output assertion to the real lfs function	-5	cmd/addref/add-ref.go:102 and :274 call createAddRefPointer; cmd/addref/add-ref.go:300-302 only returns lfs.CreateDRSPointer. cmd/addref/add-ref_test.go:139-151 already exercises lfs.CreateDRSPointer, while :155-175 keeps the private wrapper alive for the same pointer output contract.	Keep the source-authority DRS URI, size, and optional sha256 lines exactly as lfs.CreateDRSPointer emits them. Replace the two production calls and the private-wrapper test call with lfs.CreateDRSPointer, then delete the wrapper and its misleading command-local comment.	Run go test ./cmd/addref -run 'Test(CreateDRSPointer|AddRefPointer|RunManifest)' -count=1 and the full ./cmd/addref package. The compile-only baseline passed.	high
2 addurl.AddURLService.ensureLFSObject	inline and delete the one-caller adapter	-4	cmd/addurl/run.go:130 calls ensureLFSObject once. cmd/addurl/run.go:161-167 ignores both context and lfsRoot parameters and only returns input.sha256 or placeholderOIDForUnknownSHA. No test or other production caller names it.	Preserve explicit SHA256 precedence and the v2 placeholder identity derived from ETag plus resolved source URL. Inline that conditional at run.go:130 and retain placeholderOIDForUnknownSHA as the tested identity function.	Run go test ./cmd/addurl -run 'Test(Placeholder|Run|AddURL)' -count=1 and the full package, including Globus and cache tests.	high
3 cmd/pull.isDRSPointerOID	delete duplicate predicate and use lfs.IsDRSURI	-4	cmd/pull/main.go:375-378 defines isDRSPointerOID; its only production callers are :149 and :241. internal/lfs/object_path.go:44-49 already exports lfs.IsDRSURI with the same trim, compact //authority, and case-insensitive drs:// behavior. cmd/pull already imports lfs.	Preserve DRS URI prefetch and resolver routing for both drs:// and //authority forms, including whitespace trimming. Remove the private predicate rather than adding another adapter.	Run go test ./cmd/pull -run 'Test' -count=1 and the full package. Existing cmd/pull tests passed in the focused baseline.	high
4 cmd/precommit.Change.Status	delete unused field and assignments	-5	cmd/precommit/run.go:12-24 declares Status, and cmd/precommit/changes.go:29-38 assigns it while parsing. rg found no read of Change.Status in production or tests. Kind, OldPath, and NewPath carry every value consumed by cmd/precommit/run.go:70-121.	Preserve staged A, M, D, and R parsing and rename ordering. Remove Status from Change and construct the same changes without storing the raw status string.	Run go test ./cmd/precommit -count=1 and exercise staged add, modify, delete, and rename cases. The focused precommit package passed in the baseline.	high
