subject	verdict	corrected_disposition	corrected_removable_loc	evidence	risk	verification
root	AGREES	keep	0	Local git-drs.go:12-34 owns logger setup/close, the hidden credential-helper dispatch, and execution of cmd.RootCmd; upstream main.go:10-14 only executes the server-oriented cmd.RootCmd whose cmd/root.go:29-64 registers Syfon server commands.	Removing or swapping this entry loses the git-drs executable identity, credential.helper=!git drs credential-helper path, logger lifecycle, and Git command tree.	go test . PASS; upstream main/root source inspection confirms no Git credential-helper or filter dispatch.
cmd	AGREES	keep	0	Local cmd/root.go:31-70 registers initialize, filter, clean, smudge, remote, pull/push, precommit, tracking, inventory, and DRS commands; upstream cmd/root.go:39-64 registers only server CLI commands and has no Git filter/hook tree.	A root replacement changes command names, hidden-command behavior, completion settings, and Git integration contracts used by initialized repositories and scripts.	Focused command tests pass except cmd/filter's sandbox-only listener bind; exact upstream root comparison found no equivalent tree.
cmd/clean	AGREES	keep	0	Local cmd/clean/main.go:26-57 reads stdin, resolves the Git-LFS root, calls internal/filter.CleanContent, writes an LFS/DRS pointer to stdout, and records local cache metadata; upstream has no clean command or stdin/stdout filter implementation.	Replacing it with upstream data transfer APIs would break filter.drs.clean wire behavior, pointer identity, and .git cache/DRS-map side effects.	Source and call-site inspection; clean package compiles and has no standalone tests.
cmd/filter	AGREES	keep	0	Local cmd/filter/main.go:32-120 runs the Git filter-process v2 protocol and wires clean/smudge to remoteruntime, Terra resolution, and local cache; upstream client/services/lfs_service.go:18-63 only exposes LFS HTTP Batch/StageMetadata/Verify APIs and no packet protocol.	Removing the process handler breaks filter.drs.process framing, persistent Git process lifecycle, resolver selection, and pointer passthrough semantics.	go test ./cmd/filter reaches TestSmudgeHandlerUsesTerraResolver then is blocked by sandbox httptest tcp6 bind permission; no code assertion failure observed.
cmd/initialize	AGREES	keep	0	Local cmd/initialize/main.go:51-274 creates .git/drs state, writes filter.drs and drs.* Git config, installs pre-commit, and repairs legacy pre-push; upstream client/client.go:102-146 creates HTTP clients and has no repository initializer.	Replacing it would lose persisted filter/hook keys, repeatability, hook backups, and legacy pre-push repair.	go test ./cmd/initialize PASS; local callers include client/etl.go and remote/add variants; no upstream initializer found.
cmd/install	AGREES	keep	0	Local cmd/install/main.go:17-67 writes the four global filter.drs keys via git config --global; upstream client/config and client/client configure HTTP credentials/endpoints, not global Git filters.	Removal changes global Git clean/smudge/process configuration and can make existing repositories invoke the wrong filter.	go test ./cmd/install PASS; direct upstream command/client scan found no global Git config writer.
cmd/lsfiles	AGREES	keep	0	Local cmd/lsfiles/service.go:118-238 reads Git refs/LFS pointers, applies path globs/localization, and optionally batches scoped DRS lookup; upstream cmd/list/main.go:31-110 and IndexService.List only list remote records with pagination and no Git ref/worktree facts.	Replacing it loses --git-remote/--drs-remote selection, pointer path/OID rows, localization markers, output schemas, and duplicate-OID batching.	go test ./cmd/lsfiles PASS; upstream list/index source comparison confirms only a transport-level overlap.
SYMBOL:cmd/lsfiles.collectRows	AGREES	transport-adapter only; keep orchestrator	0	Local collectRows owns Git remote-ref discovery, LFS inventory, fallback remote choice, path filtering, row formatting, and calls lookup.ObjectsByHashesForScope at service.go:180-198; upstream IndexService.List at client/services/index_service.go:126-156 can supply only remote record transport.	A direct replacement would change scope filtering, pointer/path rows, localization, duplicate suppression, and behavior on lookup errors; only a proven adapter may swap the batched server call.	go test ./cmd/lsfiles PASS; no upstream function returns fileRow or Git inventory.
cmd/precommit	AGREES	keep	0	Local cmd/precommit parses staged Git changes, validates staged LFS pointers, warns on oversized plain blobs, and updates .git/drs/pre-commit/v1 path/OID/tombstone JSON; upstream has no staged-index or precommit cache package.	Replacing it with server metadata or transfer checkpoints loses rename/delete handling, local cache schema, atomic writes, and user confirmation before large direct commits.	go test ./cmd/precommit PASS; production callers are root/initialize hook wiring and no upstream matching symbols exist.
cmd/preset	AGREES	keep	0	Local cmd/preset/root.go:11-40 lists/shows the embedded internal/presets catalog, aliases, auth/provider, endpoint, and catalog version; upstream client/config has credential profiles but no built-in remote preset catalog.	Removal changes user-visible aliases, endpoint/auth defaults, and catalog-version output consumed by remote setup workflows.	go test ./cmd/preset PASS; upstream command/client scan found no preset catalog or equivalent.
cmd/pull	AGREES	keep	0	Local cmd/pull/main.go:46-277 inventories committed/worktree pointers, resolves DRS/Terra/Globus access, hydrates .git/lfs cache, verifies bytes, saves placeholder checksums, checks out files, and refreshes the Git index; upstream cmd/download/main.go:21-75 downloads one DID to an arbitrary path.	Using upstream download as a command replacement loses dry-run/path ordering, cache identity, access policy, pointer verification, read-only handling, checkout modes, and git add refresh.	go test ./cmd/pull PASS; upstream download/transfer source inspection shows only lower-level byte-download reuse.
SYMBOL:cmd/pull.RunE	AGREES	workflow retained; direct-import transfer adapter only	0	RunE owns the complete Git checkout loop at cmd/pull/main.go:57-275, while upstream client/transfer/download/transfer.go:18-37 and engine.Download accept one backend/object/destination and do not inspect Git pointers or update the index.	Deleting the loop would break bulk prefetch, Globus grouping, cache verification, placeholder handling, read-only chmod, and Git index refresh; only network/download calls are candidates for adaptation.	go test ./cmd/pull PASS; direct call-site and side-effect inspection found no one-to-one upstream workflow.
SYMBOL:cmd/pull.savePlaceholderChecksums	AGREES	keep; metadata adapter only	0	Local savePlaceholderChecksums at cmd/pull/main.go:498-563 hashes downloaded bytes, reconciles local/remote metadata, validates SHA256, and writes local DrsObject JSON under .git/drs/lfs/objects; upstream DRSService.GetObject returns metadata but has no local sidecar store.	Moving this into the client would lose durable placeholder identity and checksum reconciliation before checkout, allowing mismatched remote metadata or orphaned local state.	go test ./cmd/pull PASS including TestSavePlaceholderChecksumsPersistsLocally; upstream DRS service has no sidecar writer.
cmd/push	AGREES	keep	0	Local cmd/push/main.go:31-147 and sync_refs.go:9-95 derive Git branch/merge-base state, scan reachable pointers, synchronize DRS objects, push Git refs, and advance refs/git-drs/synced/* with a lease; upstream cmd/upload/main.go:34-156 uploads one local file/registers one record and never reads or writes Git refs.	Replacing it changes attached-branch requirements, history/exclusion semantics, dedup/reuse, unavailable-object acknowledgement, --no-verify ordering, and synchronization-ref safety.	go test ./cmd/push PASS; upstream upload/orchestrator.go:28-124 is generic per-file transfer/registration only.
SYMBOL:cmd/push.RunE	AGREES	workflow retained; upload adapter only	0	Local RunE combines remote policy checks, sync-ref state, history inventory, BatchSyncForPushWithSummary, ordinary git push, and acknowledgement publication at cmd/push/main.go:51-147; upstream upload.RegisterFile/Upload handle a single file and have no Git-ref access.	A direct replacement would omit bulk existence checks, scoped reuse, reachable placeholders, force-upload policy, and retry-safe acknowledgement publication; only per-file upload mechanics are adaptable.	go test ./cmd/push PASS; source/call-site scan confirms no upstream ref or batch Git workflow.
cmd/rm	AGREES	keep	0	Local cmd/rm/main.go:20-58 validates tracked LFS/DRS paths and performs one atomic git rm -- invocation; upstream cmd/rm/main.go:20-58 removes server DRS records or controlled-access resources by DID.	Swapping implementations would turn a local staging operation into destructive server metadata/storage deletion and break path validation/staging semantics.	go test ./cmd/rm PASS; upstream rm tests/flags and implementation are behaviorally distinct.
cmd/smudge	AGREES	keep	0	Local cmd/smudge/main.go:19-87 implements one-shot Git stdin/stdout pointer handling, local cache lookup, no-remote passthrough, skip-smudge, Terra URI normalization, and remote download; upstream has no smudge command.	Removing it breaks filter.drs.smudge behavior and offline/no-remote checkout compatibility even if upstream transfer readers are reused underneath.	go test ./cmd/smudge PASS; no upstream one-shot Git filter command or pointer parser found.
SYMBOL:cmd/smudge.runSmudge	AGREES	Git dispatch retained; downloader adapter only	0	Local runSmudge at cmd/smudge/main.go:37-86 owns config/default-remote resolution, passthrough, skip-smudge, Terra resolver selection, and internal/filter.SmudgeContent; upstream DataService/transfer download APIs do not parse pointers or provide no-remote policy.	Bypassing local cache, GIT_DRS_SKIP_SMUDGE, resolver selection, or // to drs: normalization changes checkout behavior; only the download backend is a plausible adapter.	go test ./cmd/smudge PASS; call-site and upstream transfer API inspection found no replacement for Git dispatch.
cmd/track	AGREES	keep	0	Local cmd/track/main.go:18-64 calls internal/gitrepo.TrackPatterns/ListTrackedPatterns to merge .gitattributes filter=drs rules with verbose/dry-run behavior; upstream client/transfer APIs do not manipulate a Git worktree or attributes file.	Removal changes persisted tracking patterns and future clean/smudge routing for existing repositories.	go test ./cmd/track PASS; no upstream Git attributes helper found.
cmd/untrack	AGREES	keep	0	Local cmd/untrack/main.go:15-56 removes Git-LFS/DRS tracking patterns through internal/gitrepo.UntrackPatterns with argument, verbose, and dry-run contracts; upstream has no .gitattributes mutation API.	Replacing it risks deleting or retaining the wrong filter route and changes minimum-argument/dry-run behavior.	go test ./cmd/untrack PASS; upstream command/client scan found no equivalent.
cmd/version	AGREES	keep	0	Local cmd/version/main.go:11-54 prints git-drs plus tag/commit/dev fallback; upstream cmd/version/main.go:10-15 prints the Syfon server version package only.	A replacement changes binary identity and script-visible tag/commit formatting and fallback values.	go test ./cmd/version PASS; upstream version command source is a different CLI contract.
inventory	AGREES	keep	0	Local public inventory.List at inventory/inventory.go:15-53 reads pointer blobs from a selected Git ref, filters SHA256 pointers/excluded prefixes, normalizes paths, and sorts; upstream client/index/list APIs read server records and no Git tree/ref inventory exists.	Even with no in-repo production importer, deleting this public Git-specific API is a compatibility break; remote record listing cannot reproduce ref snapshots or hydrated-tree semantics.	go test ./inventory PASS; no production caller found, but exported API and focused inventory test remain local.
