upstream_package	upstream_symbol	local_symbols	relation	action	removable_loc	behavior_evidence	callsite_evidence	pin	confidence
client.Config	Config	client.Options; remoteruntime.GitContext	incompatible	keep local public API; do not substitute Syfon config	0	upstream client/client.go:26-32 only models address transport user-agent and auth; local client/client.go:26-37 additionally owns organization project and logger while remoteruntime/runtime.go:22-43 owns Git scope and capabilities	client/client.go:44-81; remoteruntime/runtime.go:230-274,277-332 construct Syfon config inside Git policy	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.BasicAuth	BasicAuth	client.Options.Username/Password; remoteruntime.GitContext.Credential.KeyID/APIKey	local_policy_wrapper	keep local validation and scope wrapper; use WithBasicAuth underneath	0	upstream client/client.go:34-37 stores username/password and client/client.go:77-85 trims username; local client/client.go:53-65 requires complete local auth and remoteruntime/runtime.go:252-258 maps credential fields	client.New:44-81; remoteruntime.localClient:230-274	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.Client	Client	client.Client; remoteruntime.GitContext.Client	local_policy_wrapper	keep Git-DRS wrapper around the Syfon client	0	upstream client/client.go:39-57 is a transport plus generated/service clients; local client/client.go:39-42 wraps remoteruntime.GitContext and client/client.go:76-81 adds Git project/logger policy	client.New:44-81; remoteruntime.GitContext:22-43; all command callers use GitContext.Client	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.Option	Option	syclient.Option in client.New	exact	keep direct Syfon option composition	0	upstream client/client.go:59-60 defines the functional option and client/client.go:102-108 applies it; local client/client.go:57-67 builds and passes []syclient.Option	client.New:57-70	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.WithHTTPClient	WithHTTPClient	syclient.WithHTTPClient	exact	keep direct import	0	upstream client/client.go:61-67 only installs a non-nil transport; local client/client.go:57-60 does the same before syclient.New	client.New:57-70	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.WithUserAgent	WithUserAgent	-	no_match	keep upstream default; no local caller needs a custom user-agent	0	upstream client/client.go:69-75 trims and installs a user-agent; no git-drs production path calls this option	client/client.go:57-70 uses only HTTPClient and auth options; rg found no WithUserAgent production call	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.WithBasicAuth	WithBasicAuth	syclient.WithBasicAuth in client.New and remoteruntime.localClient	exact	keep direct import	0	upstream client/client.go:77-86 trims username and selects BasicAuth; local client/client.go:61-65 and remoteruntime/runtime.go:252-258 pass the same credentials	client.New:57-70; remoteruntime.localClient:252-264	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.WithBearerToken	WithBearerToken	syclient.WithBearerToken in client.New and remoteruntime.newGitContext	exact	keep direct import	0	upstream client/client.go:88-92 trims the token; local client/client.go:61-63 and remoteruntime/runtime.go:308-310 pass the bearer token	client.New:57-70; remoteruntime.newGitContext:277-332	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.DefaultConfig	DefaultConfig	-	no_match	keep upstream constructor default	0	upstream client/client.go:94-100 supplies localhost address ten-minute HTTP timeout and syfon-client/0; local always supplies an endpoint through syclient.New	client.New:47-70; remoteruntime/runtime.go:258-260,308-310	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.New	New	syclient.New in client.New and remoteruntime local/gen3 constructors	exact	keep direct construction; use this constructor for any accepted service replacement	0	upstream client/client.go:102-109 applies defaults then NewClient; local client/client.go:57-70 and remoteruntime/runtime.go:258-260,308-310 already construct the same client	client.New:44-81; remoteruntime.localClient:252-274; remoteruntime.newGitContext:277-332	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.NewClient	NewClient	-	no_match	keep upstream internal constructor	0	upstream client/client.go:111-147 parses the address selects auth mode and initializes generated services; git-drs calls the public New wrapper and adds local policy	client/client.go:67-70; remoteruntime/runtime.go:258-260,308-310	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.(*Client).HTTPClient	HTTPClient	remoteruntime GitContext.Client.HTTPClient()	exact	keep for signed storage URL probes; do not route those URLs through DRS services	0	upstream client/client.go:207-212 returns the configured standard client; local push_runtime.go:290-310 uses it for a range probe against an externally signed URL	internal/transfer/push_runtime.go:288-315; signed URL behavior is distinct from server API	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.(*Client).Do	Do	-	no_match	keep service-specific callers and signed-URL policy; no direct local Client.Do call	0	upstream client/client.go:214-216 delegates to request.Client.Do with auth/retry; local transfer uses HTTPClient plus custom range/header policy rather than this generic method	internal/transfer/push_runtime.go:290-315; internal/transfer/download.go:246-281	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.(*Client).Address	Address	-	no_match	keep upstream accessor; local stores endpoint separately	0	upstream client/client.go:218 returns normalized baseURL; local remoteruntime.GitContext.Endpoint is the configured endpoint and preserves Git remote policy	remoteruntime/runtime.go:22-43,263-272,318-332; no production Address call	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client.(*Client).Health	Health	gc.Client.Health()	exact	keep direct service use	0	upstream client/client.go:220 and services/health_service.go:24-44 issue GET /healthz and return structured errors; local cmd/ping/main.go:42 delegates directly	cmd/ping/main.go:37-43; cmd/ping/main_test.go:36-90	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.(*Client).Data	Data	rt.API.Client.Data()	exact	keep direct service use	0	upstream client/client.go:221 exposes DataService; local push_runtime.go:29 and :247 use UploadURL through that service	internal/transfer/push_runtime.go:23-31,240-250	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.(*Client).Index	Index	gc.Client.Index()	exact	keep direct service use	0	upstream client/client.go:222 exposes IndexService with typed response/error handling; local ping and delete flows call List/DeleteByQuery/RemoveControlledAccess	cmd/ping/main.go:205-218; cmd/deleteproject/main.go:57-115; internal/transfer/delete_reconcile.go:90-100	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client.(*Client).DRS	DRS	newAnonymousSourceDRSGetter raw.DRS()	exact	keep direct service use	0	upstream client/client.go:223 exposes DRSService; services/drs_service.go:22-80 are typed wrappers; local add-ref constructs syclient.New then returns DRS()	cmd/addref/add-ref.go:400-408	upstream@4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
