candidate	verdict	prod_lines	test_lines	evidence	risk	verification
internal/transfer/delete_reconcile.go plus delete_git_history.go	DELETE_AFTER_MOVING_REFUPDATE	238 net; 242 files minus 4-line RefUpdate	254	The only repository references to ReconcileCommittedDeletes, DeleteSummary, collectLivePathsByOID, collectDeletedPointers, deletedPointer, deletedPaths, and isZeroSHA are the two production files and delete_reconcile_test.go. cmd/push/main.go uses RefUpdate only to compute push discovery, and calls BatchSyncForPushWithSummary rather than reconciliation. The tests assert DeleteObject with delete_storage_data=true, which belongs to Gecko/Syfon storage audits under the settled ownership decision.	Medium. Move RefUpdate into push.go or a small live types file first, then remove the destructive tests and their helpers. Check downstream users of the internal package before deleting exported symbols.	rtk rg found no live reconciler caller. Focused non-network transfer tests passed 17/17. Reconciliation tests could not start httptest servers because the sandbox denied IPv6 bind.
internal/transfer/BatchSyncForPush	DELETE	4	0	The wrapper at internal/transfer/push.go:61-64 only delegates to BatchSyncForPushWithSummary. rg found the declaration and no callers anywhere in the repository.	Low. It is exported from an internal package, so check any external in-tree module consumers before removal.	The live summary API is exercised by push tests; targeted transfer tests passed 17/17.
internal/transfer download-probe path	DELETE_AND_SIMPLIFY	57	0	ProbeURL, newDownloadProbe, probeDownloadURL, and isFileDownloadable are private. uploadFileForObject is called only at push.go:708 and 723, both with skipIfDownloadable=false, so lines 166-176 never execute. Remove the field, probe functions, branch, net/http import, and the unused boolean argument. Update three untracked push_runtime_test call sites to the new signature.	Low. The skipped-upload behavior is already unreachable in this repository; preserve upload and metadata behavior while changing the debug message that says the file is not downloadable.	Targeted upload and access tests passed 17/17; no test references ProbeURL or the probe functions.
internal/transfer selectAccessMethod/selectAccessMethodWithPolicy/accessMethodReadiness	DELETE	44	105	The selector functions and readiness helper are private and referenced only by access_test.go. Production planning goes through planAccessURL, which uses orderedAccessMethods, accessURLForMethod, and resolvedAccessReadiness. accessMethodRank remains live through orderedAccessMethods.	Low. Removing the tests drops coverage for a dead preliminary path, not for production planning. Check no downstream code reaches the internal package through a same-parent module.	Targeted TestPlanAccessURL, TestAccessMethod, and TestBulkAccessRequest tests passed 17/17.
internal/lfs.GetLfsFilesForRefPaths plus uniquePaths	DELETE_IF_INTERNAL_API	43	80	GetLfsFilesForRefPaths has no production caller; the only calls are the two tests at inventory_test.go:42 and 90. uniquePaths is used only by that function. addFilesFromPaths remains live through GetLfsFilesForRefs and GetReachablePointerFilesForRef, so this deletion does not remove the historical scanner.	Medium. The function is exported despite living under internal, so confirm no external github.com/calypr consumer. Removing it requires deleting its two tests, not the shared batch blob reader.	The focused lfs suite passed before deletion. The source scan found no production caller.
internal/lfs.GetWorktreeLfsFiles	DELETE_IF_INTERNAL_API	40	58	GetWorktreeLfsFiles is called only by its inventory_test.go test. Production callers use GetTrackedLfsFiles at cmd/pull, cmd/lsfiles, cmd/copyrecords, and cmd/rm, which preserves hydrated files by reading the index. listTrackedWorktreeFiles is shared and must remain.	Medium. It is an exported internal symbol and the old comment claims interactive use that no current command has. Confirm no external consumer before deleting the old scanner and its test.	The focused lfs suite passed before deletion; current production call-site scan found none.
internal/lfs.CreateLfsPointer plus CreateLfsPointerWithOID	DELETE_IF_INTERNAL_API	24	31	No production code calls either SHA256-pointer writer. The only calls are three tests in cmd/addref/add-ref_test.go:24-54. addref production uses CreateDRSPointer at add-ref.go:301, which is the current DRS URI pointer path.	Medium. Confirm no external consumer of the exported internal helpers. Deleting the stale SHA256 writers does not affect CreateDRSPointer or pointer parsing.	The focused lfs and addref suites passed before deletion; rg found no production caller.
internal/transfer.DownloadToPath	KEEP	0	0	client/client.go:166 calls this public client-library path. It resolves a scoped DRS object and delegates to the Syfon download engine with non-cache destination options. Static dead-code output would be a false positive here.	None for deletion. Keep the non-cache API separate from Git-LFS cache downloads.	The source call site is direct and production-owned; no deletion should proceed.
internal/transfer.downloadResolved	KEEP_FOR_NOW	0	0	The private wrapper has one caller in DownloadResolvedToCachePath, but it names the cache-specific default Syfon download options and keeps that path distinct from DownloadToPath. It is reachable and not duplicate behavior.	Low. Inline only during a broader transfer readability change; deletion would save about three lines and make option selection less named.	Download code is covered by the focused transfer tests; no dead caller evidence.
internal/remoteruntime and cmd/remote/add bucket matching	CONSOLIDATE_LATER	0 immediate; about 40 duplicated matching lines	0	The same payload-to-resource matching loop exists in internal/remoteruntime/bucket_lookup.go, cmd/remote/add/bucket_lookup.go, and cmd/ping/main.go. They differ in client construction, project-to-organization fallback, preferred-bucket handling, sorting and compaction, and error text. cmd/ping also returns map iteration order. This is real duplication, but deleting one implementation now would change behavior.	Medium. A shared helper could reduce physical lines, but define ordering, preferred selection, fallback, and error contracts first and add focused tests for all three callers.	Existing remoteruntime and remote/add tests cover their own contracts. Source inspection found the ping copy at main.go:290-312.
