candidate	disposition	estimated_lines	evidence	behavior_contract	verification	confidence
SECTION Components Found	explorer-template	n/a	internal/gitrepo owns repository opening, Git config mutation, bucket-map scope resolution, gitattributes tracking, routes, and remote credential wiring. internal/lfs owns pointer parsing and creation, SHA256 and DRS cache identity, Git ref/worktree/index/history inventory, LFS-root discovery, and payload hashing. internal/config owns shared-policy plus repository-local remote loading and persistence. internal/filter owns Git filter-process v2 framing plus clean/smudge behavior. internal/precommit_cache owns clone-local path/OID bookkeeping and atomic JSON. internal/drsobject owns DRS object construction and local JSON records. internal/resolver owns trusted AnVIL URI resolution and verified atomic downloads.	Persisted Git config keys, gitattributes attributes, pointer formats, fanout paths, DRS UUID namespace, precommit JSON schema, and resolver download verification are compatibility contracts.	Source inventory and production call-site scans completed with rg, git blame, and exact line reads.	high
SECTION Flow	explorer-template	n/a	Configuration and command setup enter internal/config and internal/gitrepo. add-url, track, and add-ref mutate Git attributes and local DRS/cache state. push uses lfs history plus reachable-pointer inventory, drsobject records, and transfer runtime. pull, ls-files, clean, smudge, and filter use lfs cache identity and filter handlers. Terra/AnVIL paths construct resolver.NewAnVIL, resolve DRS objects/access, and call DownloadToCache.	Keep Git scope policy, LFS/DRS pointer identity, hydrated-worktree handling, atomic cache writes, and filter-process packet framing unchanged.	Baseline focused suite passed for internal/gitrepo, internal/lfs, internal/config, internal/filter, internal/precommit_cache, internal/drsobject, and inventory with isolated GOCACHE. Resolver full HTTP tests were blocked by sandbox local-listener permission; resolver compile-only passed.	high
SECTION Files Read	explorer-template	n/a	Sources read include internal/gitrepo/{repo.go,paths.go,gitattributes_routes.go,gitattributes_tracking.go,bucket_map.go,bucket_scope.go,lfs_auth.go}; internal/lfs/{hash.go,object_path.go,repo_paths.go,history.go,inventory.go}; internal/config/{config.go,remote.go,token.go}; internal/filter/{process.go,clean.go,smudge.go,skip_smudge.go}; internal/precommit_cache/{helpers.go,helpers_test.go}; internal/drsobject/{object.go,store.go}; internal/resolver/{resolver.go,resolver_test.go}; and inventory/inventory.go. Focused tests and callers read include internal/lfs/inventory_test.go, internal/filter/process_test.go via symbol scans, cmd/push/main.go, cmd/addurl/run.go, cmd/precommit/cache_apply.go, internal/transfer/{push.go,push_runtime.go}, cmd/copyrecords/scan.go, and relevant audit TSVs.	Inspection was read-only. No production or test source was edited.	Required RTK, Poteto, how-explorer, Codex mapping, investigation playbook, Go-pattern, and selected principle instructions were read before source inspection.	high
SECTION Boundaries	explorer-template	n/a	cmd/initialize, cmd/track, cmd/untrack, cmd/remote/add, cmd/addurl, cmd/addref, cmd/push, cmd/pull, cmd/lsfiles, cmd/clean, cmd/smudge, and cmd/filter call the listed internal packages. inventory.List calls lfs.GetReachablePointerFilesForRefInRepository. cmd/precommit and cmd/addurl share precommit_cache. internal/transfer and copyrecords consume drsobject and lfs. remoteruntime supplies resolver and Git remote policy.	Do not collapse these boundaries into generated Syfon helpers or generic interfaces unless the exact Git-visible and persisted contract is proven equivalent.	Call-site scans covered each candidate and direct importer. The full non-network core package run was green.	high
SECTION Non-Obvious Things	explorer-template	n/a	Commit 3388d6c8 already removed the old config.getRepo wrapper and uncalled LFS ref-path/worktree/checksum pointer APIs, and it already consolidated precommit JSON writes. GetReachablePointerFilesForRef is still live through cmd/push/main.go:27 even though its direct call appears only through the injectable variable. drsobject.NormalizeOid must remain distinct from strict hash.NormalizeOid because it intentionally accepts arbitrary Git-visible values; it currently delegates to hash.NormalizeChecksum. resolver.NewAnVILWithClient exists only in resolver_test.go to avoid ADC and remains necessary for HTTP contract tests. The DRS UUID namespace and cache/pointer formats are deployment contracts.	Avoid re-proposing already-landed deletions or changing compatibility names merely to reduce aliases.	Focused baseline tests prove the retained paths. resolver HTTP execution remains an environment limitation, not a source finding.	high
SECTION Open Questions	explorer-template	n/a	Out-of-tree users of internal packages cannot be established from this repository alone, although Go internal import rules make them unlikely. Resolver HTTP tests need a network-enabled runner to complete. No material ownership dispute remains for the ranked private cleanups.	Confirm external consumers before deleting any future exported internal symbol. Run the full suite after each accepted cleanup wave.	The only unresolved verification is sandbox listener permission; source evidence is otherwise complete.	medium
1 internal/gitrepo.GetBucketMapping project lookup	consolidate-through-getExactBucketMapping	approximately -14 production lines	internal/gitrepo/bucket_map.go:68-105 reads project bucket and prefix directly. internal/gitrepo/bucket_scope.go:80-100 contains the same project lookup, trim, missing-bucket, and prefix normalization in getExactBucketMapping. GetBucketMapping is called by cmd/bucket/main.go:199 and ResolveBucketScope calls it at internal/gitrepo/bucket_scope.go:32; getExactBucketMapping is called at :40. Replace the duplicate project block with getExactBucketMapping(org, project), then retain the organization fallback.	Preserve project-over-organization precedence, missing mapping behavior, whitespace and slash normalization, Git key names, and all bucket scope error text. The helper returns the same BucketMapping and found flag as the duplicated block.	Baseline passed go test ./internal/gitrepo. After editing run go test ./internal/gitrepo -run 'TestBucketMapping|TestResolveBucketScope' -count=1, then direct callers ./cmd/bucket ./cmd/remote/add ./internal/remoteruntime.	high
2 internal/filter.GitFilter passthrough methods	delete one-caller layers	approximately -8 production lines	internal/filter/process.go:129-159 has passthroughSmudge and passthroughClean, each called exactly once at :131 and :143 and each only forwards to writeSuccessResponse. The two real handlers already share the same response path at :138 and :150. Inline writeSuccessResponse(content) in the nil-handler branches and delete both wrappers.	Preserve filter-process status=success packets, packet framing, exact passthrough bytes, and clean/smudge dispatch. This removes no protocol behavior or callback seam.	Baseline passed the full internal/filter package. After editing run go test ./internal/filter -run 'TestGitFilterProtocol|TestSmudgeContent|TestCleanContent' -count=1 and the full package.	high
3 internal/lfs inventory private logger plumbing	remove unused private parameter	approximately -5 production lines	internal/lfs/inventory.go:151-183 passes logger from addFilesFromRef to addFilesFromPaths, but addFilesFromPaths declares _ *slog.Logger at :159 and never reads it. The only callers are addFilesFromRef at :156 and public inventory entry points at :77 and :110. Remove the ignored parameter from both private helpers and their call sites while retaining public logger nil validation.	Preserve all pointer scanning, Git command context, map output, logger-required validation, and errors. The logger is currently observationally unused in this path, so no output changes.	Baseline passed ./internal/lfs and ./inventory. After editing run go test ./internal/lfs ./inventory ./cmd/push -run 'Test' -count=1, with an isolated GOCACHE if the shared cache is busy.	medium-high
4 internal/precommit_cache.RemoveOIDPath missing-entry branch	delete unreachable error branch	approximately -3 production lines	ReadOIDEntry at internal/precommit_cache/helpers.go:156-175 converts fs.ErrNotExist into a fresh empty OIDEntry and nil. RemoveOIDPath at :206-224 nevertheless checks errors.Is(err, fs.ErrNotExist) at :209-211, which cannot occur from its only reader; the following return err at :212 is the actual error path. Delete only the impossible branch.	Preserve missing-entry behavior, path sorting and trimming, UpdatedAt, content-change retention, external URL retention, atomic replacement, and all non-not-found errors.	Baseline passed ./internal/precommit_cache and compile-only ./cmd/precommit. After editing run go test ./internal/precommit_cache ./cmd/precommit ./cmd/addurl -count=1.	medium-high
