package	finding	disposition	production_loc	test_loc	evidence	compatibility_constraints	confidence
cmd/copyrecords	copyProjectRecords wrapper	Delete after migrating its one test caller to copyProjectRecordsWithOptions; the wrapper adds no behavior.	3 physical lines	0 reduction; TestLocalIndexAPI_MergesByChecksumAndWritesLocalDRSObject needs one extra false argument	cmd/copyrecords/run.go:24-26 has no production callers; rg finds only cmd/copyrecords/main_test.go:644-646. main.go:162 calls copyProjectRecordsWithOptions directly.	Keep copyProjectRecordsWithOptions and its local-target merge behavior unchanged.	high
cmd/copyrecords	copyProjectRecordsFromSourceIndex and copyProjectRecordsFromSourceIndexWithOptions wrappers	Delete both wrappers. The first is only a test seam, and the second is only called by the first, so the original audit missed one dead three-line wrapper.	6 physical lines	0 reduction; migrate main_test.go:307 to copyProjectRecordsFromSourceIndexWithFilter(..., false, false, nil)	run.go:56-61 are unreferenced except by the test-only call to the first wrapper; main.go:132 calls the filter variant directly.	Preserve cursor paging and filtered/unfiltered behavior in copyProjectRecordsFromSourceIndexWithFilter.	high
cmd/copyrecords	reconcileCopyBatch wrapper	Delete.	3 physical lines		No callers in production or tests; run.go:130-132 only forwards to reconcileCopyBatchWithOptions.	Keep reconcileCopyBatchWithOptions, including overwrite and 413 behavior.	high
cmd/copyrecords	recordHasControlledAccess	Delete. This is dead code, not a test-only seam.	11 physical lines		0; rg finds no Go caller. The coverage/summary.txt entry is stale coverage output, not a source call site.	scan.go:272-282 has no callers and is unrelated to the active rewriteCopyRecordScope path at scan.go:236-249.	high
cmd/copyrecords	localIndexAPI no-op List and BulkDocuments methods	Keep. They look removable because local targets do not list, but indexAPI requires both methods and merge.go:38 calls BulkDocuments for remote targets. Removing them would require splitting the interface or adding a second target path, not a deletion.	0	0	api.go:57-63 defines the contract; local_target.go:16-22 satisfies it; merge.go:38 calls BulkDocuments.	Do not change the indexAPI contract as part of the LOC cleanup.	high
cmd/addurl	errorAsResponse wrapper	Inline into mapInspectError or delete after changing its one caller. It only returns errors.As and has no injection or domain behavior.	3 physical lines	0; no test calls the wrapper directly	addurl/inspect.go:84 calls it once; inspect.go:119-121 is exactly return errors.As(err, target). The errors import remains after inlining.	Preserve the existing APIError mapping and route-missing messages.	high
cmd/addurl	firstNonEmpty helper	Keep for now. It duplicates internal/precommit_cache.firstNonEmpty, but that helper is unexported in another package. Exporting and importing it would add coupling and likely erase the LOC savings.	0	0	addurl/input.go:97-106 is used four times by run.go:101-105; precommit_cache/helpers.go:227 is private and serves cache decoding/update code.	A shared helper would need an explicit package ownership decision; do not move it opportunistically.	high
cmd/addref	createAddRefPointer wrapper	Optional inline candidate, not dead. lfs.CreateDRSPointer already owns the source-URI contract, so direct calls would remove the three-line forwarding function. Keep or move the explanatory comment with the call sites.	3 physical lines	Tests can call lfs.CreateDRSPointer directly or retain one behavior test at the canonical helper	add-ref.go:300-302 only forwards to lfs.CreateDRSPointer; production callers are add-ref.go:102 and :274. internal/lfs/inventory.go:637-653 contains the actual source-URI behavior.	Do not replace CreateDRSPointer with checksum-only pointer creation; source DRS URI must remain in the pointer.	medium
cmd/delete	duplicate confirmation/display helpers	No immediate deletion. The four helpers at delete/main.go:147-184 are byte-for-byte duplicates of deleteproject/main.go:131-168, so a shared internal command-output helper could remove about 39 physical lines net after adding one shared implementation. Treat this as a separate refactor because these are destructive commands and deleteproject has no tests.	~39 net physical lines if shared	Would require adding deleteproject tests and preserving caseSensitive behavior	Both commands are registered in cmd/root.go and have live callers. Their confirmation semantics differ at the call sites: delete accepts case-insensitive yes, deleteproject requires the exact project ID.	Keep both command contracts until a shared helper has focused output/confirmation tests.	medium
cmd/deleteproject	lack of tests	Coverage gap, not a deletion signal. The command is registered and its RunE performs a real scoped DeleteByQuery.	0	Add focused tests before changing shared confirmation code	cmd/root.go registers deleteproject.Cmd; deleteproject/main.go:24-124 performs config, preview, confirmation, and deletion.	Do not remove or merge this command because it is hidden or currently untested.	high
