package	responsibility	disposition	replacement	production_loc	removable_loc	evidence	compatibility	verification	confidence
internal/config	Repository remote model and persistence: loads shared .git-drs/drs-policies.yaml plus drs.* Git config, writes/removes remotes/defaults, exposes Gen3/local/Terra/GA4GH scope and access policy, and decodes a Gen3 token endpoint.	keep	No package replacement; continue using github.com/calypr/syfon/client/config.Manager for credential profiles only.	803	0	local: internal/config/config.go:41-131 (shared policy), :146-201 (selection), :223-314 (UpdateRemote), :421-589 (load/overrides), :600-676 (save/remove); remote.go:5-89 (remote types); token.go:10-25; production callers: cmd/remote/add/gen3.go:66-136, cmd/remote/add/persist.go:11-79, cmd/remote/add/unified.go:89-110, cmd/push/main.go:45-58, cmd/pull/main.go:38-86, cmd/query/main.go:77-82, cmd/filter/main.go:49-69, cmd/addref/add-ref.go:57-67, cmd/addurl/run.go:80-85, cmd/delete/main.go:45-50, cmd/deleteproject/main.go:34-50, cmd/lsfiles/service.go:34-108, cmd/ping/main.go:106-120, cmd/smudge/main.go:47-69, cmd/remote/{set.go:26-48,list.go:14-79,remove.go:25-50}; internal/remoteruntime/runtime.go:57-347; upstream: /private/tmp/syfon-audit-20260917/client/config/config.go:32-71, :82-156, :159-223, :289-344 at 4612d42fc8353b9ea8be19253f0d1cd9b6736e83.	The persisted contract is repo-local .git/config drs.default-remote and drs.remote.<name>.* (including multi-valued Globus maps), plus committed .git-drs/drs-policies.yaml version 1; precedence is shared policy then clone-local overrides and credential fields are source selectors, not secrets. Syfon client/config is ~/.gen3/gen3_client_config.ini profile credentials with Import/Load/Save/token validation, so direct replacement would lose remote and policy semantics.	PASS: go test ./internal/config ./internal/drsobject ./internal/filter ./internal/gitrepo ./internal/lfs ./internal/precommit_cache ./internal/presets -count=1 (77 tests, 7 packages).	high
SYMBOL: internal/config.LoadConfig	Loads shared policy, go-git drs sections, then CLI-based local Git overrides and merges policy provenance/access settings.	keep	No upstream equivalent; client/config.Manager.Load is credential-profile Load.	-	0	local: internal/config/config.go:507-590; callers: cmd/remote/set.go:26-48, cmd/push/main.go:45-58, cmd/query/main.go:77-82, cmd/filter/main.go:49-58, cmd/addurl/run.go:80-85, cmd/pull/main.go:84-86; upstream: /private/tmp/syfon-audit-20260917/client/config/config.go:82-156.	Changing this would alter drs.remote.* and shared-policy merge/override behavior and break existing clones.	Covered by focused package test above.	high
SYMBOL: internal/config.UpdateRemote	Persists typed remote selections and access/Globus routing to repo-local Git config, preserving existing sections and default remote.	keep	No upstream equivalent; client/config.Manager.Save writes profile INI credentials only.	-	0	local: internal/config/config.go:223-314; callers: cmd/remote/add/{gen3.go:135-136,local.go:47-55,terra.go:34-40,unified.go:94-110}, internal/remoteruntime/runtime_test.go:87-117; upstream: /private/tmp/syfon-audit-20260917/client/config/config.go:159-223.	Git config keys and default-remote selection are externally visible; do not migrate to Syfon credential storage.	Covered by focused package test above.	high
SYMBOL: internal/config.ParseAPIEndpointFromToken	Decodes an unverified JWT iss claim and returns scheme plus host for Gen3 endpoint inference.	keep	No client/config symbol; syfon/client/config only validates exp/iat with Manager.IsTokenValid.	-	0	local: internal/config/token.go:10-25; callers: cmd/remote/add/gen3.go:71-85 and cmd/bucket/main.go:278; upstream validation: /private/tmp/syfon-audit-20260917/client/config/validate.go:10-56.	Endpoint inference is intentionally separate from token validity and remains a compatibility path for imported Gen3 credentials.	Covered by focused package test above.	high
internal/drsobject	Builds DRS records and access methods, converts DRS objects to internal API records, and persists local DRS JSON objects under fanout paths.	keep	Use upstream hash/access helpers where already compatible; retain local builder/store/identity layer.	258	0	local: internal/drsobject/object.go:14-27 (legacy UUID/checksum identity), :30-55 (Builder), :57-87 (internal record conversion), :89-200 (access URL/object construction); store.go:13-58 (fanout JSON store); production callers: cmd/addurl/local_state.go:32-80, cmd/addref/add-ref.go:257-306, cmd/pull/main.go:327-558, cmd/copyrecords/scan.go:21-26, internal/filter/clean.go:22-39, internal/transfer/push.go:194-679; upstream: /private/tmp/syfon-audit-20260917/client/hash/hash.go:83-199 and client/access/resources.go:26-38, :73-95, :161-192; upstream upload orchestration: client/transfer/upload/orchestrator.go:39-217.	Local persisted objects are JSON DrsObject files at .git/drs/lfs/objects/<fanout>; UUIDNamespace and project/checksum-derived IDs are legacy data contracts. Local BuildAccessURL emits s3/gs/az access URLs and controlled access; upstream access conversion is already used, while transfer/upload.RegisterFile is an upload workflow, not a local object builder.	PASS: focused seven-package test command above.	high
SYMBOL: internal/drsobject.NormalizeOid	Normalizes a local pointer/cache OID by trimming whitespace and sha256:; used in DRS ID derivation and push reconciliation.	keep	Potential direct import: syfon/client/hash.NormalizeOid, but it lowercases and rejects non-64-hex input.	-	0	local: internal/drsobject/object.go:20-27; callers: internal/transfer/push.go:110-154, :387-523, internal/transfer/push_runtime.go:138, cmd/addurl/local_state.go:47, cmd/copyrecords/scan.go:241; upstream: /private/tmp/syfon-audit-20260917/client/hash/hash.go:178-191.	Blind substitution is unsafe: upstream validation changes malformed/uppercase identity and therefore deterministic UUID/cache keys; first add explicit migration/validation policy.	Covered by focused package test command; no migration performed.	medium
SYMBOL: internal/drsobject.BuildWithOptions	Creates DrsObject metadata, storage access URL/type, and controlled-access claims from bucket/prefix/provider/scheme.	keep	Direct-import syfon/client/access.AuthzMapFromScope and AuthzMapToControlledAccess (already used); no full replacement.	-	0	local: internal/drsobject/object.go:98-135 and :138-200; callers: internal/transfer/push.go:523-528 and cmd/addurl/local_state.go:32-39; upstream: /private/tmp/syfon-audit-20260917/client/access/resources.go:26-38, :161-167; upstream transfer upload metadata path: client/transfer/upload/orchestrator.go:59-84.	URL shape, access method type, scope claims, and absence of a bucket are persisted/observable DRS behavior; upstream access helper does not build local objects or S3/GCS/Azure paths.	Covered by focused package test command.	high
SYMBOL: internal/drsobject.WriteObject	Serializes and writes local DrsObject JSON to .git/drs/lfs/objects fanout; ReadObject reverses it.	keep	No client/hash/access/transfer replacement; keep local persistence API.	-	0	local: internal/drsobject/store.go:13-58; callers: cmd/addref/add-ref.go:293, cmd/pull/main.go:558, cmd/copyrecords/scan.go:26, internal/filter/clean.go:39, cmd/addurl/local_state.go:80; upstream transfer only returns/streams remote data at client/transfer/types.go:36-55 and client/transfer/download/transfer.go:18-37.	The .git/drs local object format and fanout path are clone-local compatibility contracts used for hydration/push reconciliation.	Covered by focused package test command.	high
internal/filter	Implements Git filter-process v2 packet negotiation and clean/smudge handlers for SHA256 and DRS URI pointers, with local cache and indexed-pointer preservation.	keep	No upstream replacement; optionally use syfon/client/transfer download backends inside a caller-supplied SmudgeDownloadFunc.	502	0	local: internal/filter/process.go:15-201 (Git filter protocol), clean.go:22-189 (clean/cache/map/index preservation), smudge.go:17-82 (hydrate/passthrough), skip_smudge.go:11-29; production callers: cmd/filter/main.go:49-120, cmd/clean/main.go:52-57, cmd/smudge/main.go:47-86; upstream: /private/tmp/syfon-audit-20260917/client/transfer/types.go:36-55 (ReadBackend), client/transfer/http.go:78-153 (GenericDownload), client/transfer/download/transfer.go:18-37 (file download wrapper), client/transfer/engine/downloader.go:39-112 (download engine).	Git invokes filter.drs.process/clean/smudge and expects protocol v2 status/pktline responses; pointers include version https://git-lfs.github.com/spec/v1 and https://calypr.github.io/spec/v1, oid sha256 or oid drs, optional sha256/placeholder. Syfon transfer handles HTTP/file reads and ranged/multipart mechanics but has no Git filter protocol, DRS pointer parser, indexed-pointer matching, or .git/lfs cache integration.	Covered by focused package test command; package tests include protocol and clean/smudge behavior.	high
SYMBOL: internal/filter.NewGitFilter	Creates Git filter-process v2 server and Run performs handshake, request dispatch, and status/success packet responses.	keep	No upstream equivalent; client/transfer.ReadBackend is a data-plane interface, not a Git filter server.	-	0	local: internal/filter/process.go:24-67, :69-126, :161-200; caller: cmd/filter/main.go:79-120; upstream: /private/tmp/syfon-audit-20260917/client/transfer/types.go:36-55.	Protocol wire format and Git configuration are compatibility contracts; replacing with transfer APIs would remove clean/smudge command behavior.	Covered by focused package test command.	high
