subject	verdict	corrected_disposition	corrected_removable_loc	evidence	risk	verification
cmd/addref	AGREES	keep	0	Local add-ref resolves positional and manifest inputs, writes Git-LFS pointers and .git/drs metadata, and routes Terra/Gen3 sources; upstream DRS().GetObject only supplies object transport (cmd/addref/add-ref.go:33-110,168-286,322-410; upstream client/services/drs_service.go:22-31).	A command replacement would lose source-host routing, pointer authority metadata, cache persistence, and Git side effects.	Focused assigned-package tests were reported green; compile-only suite PASS.
cmd/addurl	AGREES	inline/merge	0	The local positional URL/key, Globus recursion, manifest checks, LFS/cache writes, and repository metadata have no upstream command equivalent; upstream addurl upserts a server record under a different --did/--url/--org contract.	Importing upstream cmd/addurl changes CLI shape and drops local Git/LFS/Globus behavior.	Focused assigned-package tests were reported green; compile-only suite PASS.
SYMBOL:cmd/addurl/inspect.go	AGREES	keep	0	Local inspect uses the internal /data/inspect request and local S3-only remote semantics; upstream cloud.InspectObject is provider-side credential inspection, not a drop-in route.	A swap changes configured-bucket auth, provider support, and API error/output behavior.	Focused assigned-package tests were reported green.
SYMBOL:cmd/addurl/local_state.go	AGREES	keep	0	Helpers own .git/drs objects, placeholder OIDs, pre-commit mappings, safe pointer files, and LFS tracking; no upstream client/config or transfer package owns these Git side effects.	Removing them breaks clone-local metadata and pointer/cache compatibility.	Focused assigned-package tests were reported green.
SYMBOL:cmd/addurl/globus_recursive.go	AGREES	keep	0	Globus URL parsing, listing, wildcard matching, manifest comparison, and recursive destination safety remain local behavior; upstream transfer types expose no Globus listing/auth equivalent.	A generic HTTP transfer replacement loses provider-specific recursion and manifest semantics.	Focused assigned-package tests were reported green.
cmd/auth	AGREES	keep	0	The hidden Git command exposes Globus login/status/logout and refresh-token persistence; upstream transfer interfaces contain no authentication CLI or Globus auth store.	Replacing it removes the Git-facing auth command and stored-token behavior.	Focused assigned-package tests were reported green; compile-only suite PASS.
cmd/bucket	DISAGREES	inline/merge	69	Only the two manual server transport helpers are safely replaceable: upsertServerBucket and addServerBucketScope. The 145-line package claim includes endpoint/token resolution and local scope validation/mapping that must remain; upstream cmd/bucket also changes flags and positional arguments.	Use client.Buckets().Put/AddScope with explicit bearer auth and the existing 30-second HTTP timeout, map required value fields to pointer request fields, wrap API errors as needed, and retain gitrepo.SetBucketMapping. Do not import upstream cmd/bucket.	Compile-only suite PASS; runtime tests not needed for read-only review.
SYMBOL:cmd/bucket/upsertServerBucket	AGREES	replace/direct-import	35	The endpoint and bearer token can feed client.New plus Buckets().Put; the generated service accepts the same 200/201 success statuses and request fields after mapping putBucketPayload to bucketapi.PutBucketRequest.	The replacement must pass a 30-second HTTP client to preserve the local timeout and keep CLI validation/token resolution outside this helper; default client timeout is 10 minutes.	Compile-only suite PASS.
SYMBOL:cmd/bucket/addServerBucketScope	AGREES	replace/direct-import	34	The manual POST is the same /data/buckets/{bucket}/scopes operation as Buckets().AddScope; map Organization, ProjectID, and Path and retain local URL/path validation and repository mapping.	Use an explicit 30-second HTTP client and preserve the current error wrapping if user-visible diagnostics are a compatibility requirement.	Compile-only suite PASS.
SYMBOL:cmd/bucket/addScope	AGREES	keep	0	Duplicate-mapping checks, --force semantics, path normalization, server write sequencing, and gitrepo.SetBucketMapping are command-specific and are not represented by Buckets().AddScope.	Replacing the whole helper would break repository-local bucket routing or allow accidental overwrite.	Focused assigned-package tests were reported green.
