upstream_package	upstream_symbol	local_symbols	relation	action	removable_loc	behavior_evidence	callsite_evidence	pin	confidence
client/transfer	ErrRangeIgnored	internal/transfer.resolvedSource.GetRangeReader; internal/transfer.resolvedSource.download	exact	keep/direct-import	0	Syfon sentinel is declared at /private/tmp/syfon-audit-20260917/client/transfer/types.go:11; local returns it when a ranged response is HTTP 200 at internal/transfer/download.go:305-311,339-343, preserving the engine fallback contract.	Production call sites are internal/transfer/download.go:146 and cmd/pull/main.go:229-255; focused range-fallback coverage is internal/transfer/download_test.go:213-284.	PASS go test ./internal/transfer -run 'Test(DownloadResolvedToPath|AccessURLForHashScope|BulkAccessURLsForObjects|VerifyGlobusDownload)' -count=1 (8 tests)	high
client/transfer	TransferLogger	internal/transfer.resolvedSource.Logger	exact	keep/direct-import	0	Syfon requires Error and Printf at /private/tmp/syfon-audit-20260917/client/transfer/types.go:13-16; local adapter supplies sytransfer.NoOpLogger at internal/transfer/download.go:288-290, so no Git-visible logging contract is replaced.	The adapter is consumed by Syfon download entry points at internal/transfer/download.go:146 and the engine retry path; local transfer tests construct the adapter through DownloadResolvedToPath.	PASS go test ./internal/transfer -run 'TestDownloadResolvedToPath' -count=1	high
client/transfer	ObjectMetadata	internal/transfer.resolvedSource.Stat	exact	keep/direct-import	0	Syfon metadata fields are defined at /private/tmp/syfon-audit-20260917/client/transfer/types.go:18-24; local maps authoritative DRS size and SHA identity into those fields at internal/transfer/download.go:292-298.	The metadata is consumed by Syfon download through internal/transfer/download.go:146; client/client.go:142-145 separately preserves the public size/hash verification contract.	PASS go test ./internal/transfer -run 'TestDownloadResolvedToPath' -count=1	high
client/transfer	TransferRequest	(no local download symbol; upload-only)	no_match	exclude upload-only	0	Syfon defines this upload request at /private/tmp/syfon-audit-20260917/client/transfer/types.go:26-34; git-drs production download paths do not construct it.	Repository production search found no TransferRequest use; local upload code is outside this download wave.	N/A download scope	medium
client/transfer	ReadBackend	internal/transfer.resolvedSource; DownloadResolvedToPath	local_policy_wrapper	keep adapter; replace only generic mechanism	0	Syfon backend contract is /private/tmp/syfon-audit-20260917/client/transfer/types.go:36-42; local resolvedSource implements it at internal/transfer/download.go:246-260,292-343 while adding DRS headers, expiry refresh, status classification, and range fallback.	The adapter is passed to sydownload.DownloadToPathWithOptions at internal/transfer/download.go:134-146; callers are cmd/pull/main.go:229-255, cmd/smudge/main.go:80-82, and client/client.go:150-166.	PASS go test ./internal/transfer -run 'TestDownloadResolvedToPath' -count=1	high
client/transfer	MultipartPart	(no local download symbol; upload-only)	no_match	exclude upload-only	0	Syfon defines multipart upload result data at /private/tmp/syfon-audit-20260917/client/transfer/types.go:44-47; no download behavior is represented.	Repository production search found no local download call site.	N/A download scope	medium
client/transfer	MultipartBackend	(no local download symbol; upload-only)	no_match	exclude upload-only	0	Syfon multipart upload interface is /private/tmp/syfon-audit-20260917/client/transfer/types.go:49-55; it has no read or destination semantics.	Repository production search found no local download call site.	N/A download scope	medium
client/transfer	NoOpLogger	internal/transfer.resolvedSource.Logger	exact	keep/direct-import	0	Syfon no-op implementation is /private/tmp/syfon-audit-20260917/client/transfer/types.go:57-61; local returns that exact type at internal/transfer/download.go:288-290.	The return value satisfies ReadBackend when internal/transfer/download.go:146 invokes the engine.	PASS go test ./internal/transfer -run 'TestDownloadResolvedToPath' -count=1	high
client/transfer	DoUpload	(no local download symbol; upload-only)	no_match	exclude upload-only	0	Syfon DoUpload is a presigned PUT helper at /private/tmp/syfon-audit-20260917/client/transfer/http.go:19-76; it is not a byte-download mechanism.	Repository production search found no local production call site in the assigned download paths.	N/A download scope	medium
client/transfer	GenericDownload	internal/transfer.resolvedSource.download; internal/transfer.accessURLRequestor.Do	local_policy_wrapper	keep wrapper; direct-import byte transport	0	Syfon performs file or HTTP GET, optional Range, and cloud-auth suppression at /private/tmp/syfon-audit-20260917/client/transfer/http.go:78-152; local calls it at internal/transfer/download.go:313-317 and adds headers, 401/403 URL refresh, DRS error classification, and ErrRangeIgnored at :320-343.	All ordinary DRS payloads reach the helper through internal/transfer/download.go:146 and client/client.go:150-166; push-time probe is a separate policy check at internal/transfer/push_runtime.go:288-315.	PASS go test ./internal/transfer -run 'Test(DownloadResolvedToPath|DownloadResolvedToPathRangeIgnoredRestartsDownload)' -count=1	high
client/transfer	RetryStrategy	client.Client.downloadFile; internal/transfer.DownloadResolvedToPath	exact	keep/direct-import	0	Syfon defines the retry strategy interface at /private/tmp/syfon-audit-20260917/client/transfer/retry.go:11-14; local public pull passes sydownload.DownloadOptions through client/client.go:157-161 and internal/transfer/download.go:119-146 without redefining retry policy.	The upstream engine consumes the option through /private/tmp/syfon-audit-20260917/client/transfer/engine/downloader.go:20-30; local retry behavior is pinned by internal/transfer/download_test.go:338-393.	PASS go test ./internal/transfer -run 'TestDownloadResolvedToPathRetriesTransientHTTPError' -count=1	high
client/transfer	ExponentialBackoff	(no local equivalent; consumed by upstream engine)	no_match	retain upstream implementation	0	Syfon implements exponential waits at /private/tmp/syfon-audit-20260917/client/transfer/retry.go:16-28; git-drs does not duplicate the type or its timing semantics.	The upstream engine selects DefaultBackoff at /private/tmp/syfon-audit-20260917/client/transfer/engine/downloader.go:592-596; local callers pass only the public options at client/client.go:157-161 and internal/transfer/download.go:239-243.	PASS upstream engine path exercised by local internal/transfer tests	high
