local_symbol	lines	syfon_symbol	verdict	behavior_delta	required_change	tests
BulkAccessURLsForObjects;bulkAccessRequest;accessIDForBulkRequest	24-91	DRSService.GetAccessURL;generated DRS GetBulkAccessURLWithResponse	retain-adapter	Syfon exposes single-object GetAccessURL and the generated bulk endpoint, but no high-level bulk planner; local code batches eligible access IDs, falls back per object, preserves partial results and errors.Join diagnostics.	No direct replacement now; add a Syfon bulk planner only if it gains the local fallback/diagnostic contract.	Focused access tests for bulk success, missing access IDs, partial fallback and joined errors.
accessPolicy;parseAccessPolicy;environmentAccessPolicy;accessPolicyFor;orderedAccessMethods	93-156	client/access resources only	retain-git-policy	Syfon has AuthzMap/resource normalization, not Git DRS access-method policy parsing, env/command precedence or stable https/s3/gs/Globus ordering.	Keep local policy and ordering; do not replace with access-resource helpers.	Existing access policy/order tests, including prefer/require and unavailable methods.
planAccessURL;accessURLForMethod	158-218	DRSService.GetAccessURL	retain-adapter	GetAccessURL is reusable for an access ID, but local selection checks availability, Globus credentials/destination, local-file scope and unsupported types before resolving; those checks are absent from Syfon.	Keep planner; continue using Syfon DRS().GetAccessURL only at the resolution boundary.	Planner tests for HTTP, access-ID resolution, Globus readiness and local-file rejection.
resolvedAccessReadiness;accessMethodRank;isHTTPURL;isLocalFileURL	220-261	client/access resources;common URL helpers	retain-git-policy	These classify transfer handlers and destination readiness; Syfon has no Globus/local-file policy or equivalent ranking.	No import replacement.	Readiness and URL classification tests.
AccessURLForHashScope;AccessURLForDRSURI	26-61	DRSService.GetObject;IndexService/List/lookup APIs	retain-adapter	Local functions normalize DRS URI, perform scoped hash lookup, require access methods and feed the Git policy planner; DataService.ResolveDownloadURL ignores the selected AccessID and is not equivalent.	Keep local scope lookup and resolution; use Syfon service calls only as already wrapped by remoteruntime/lookup.	Hash/URI resolution tests with scoped records and absent access methods.
DownloadDRSURIToCachePath;DownloadToCachePath;DownloadToPath;DownloadResolvedToCachePath;DownloadResolvedToPath	63-155	transfer/download.DownloadToPathWithOptions	retain-orchestrator	Syfon owns checkpoint/resume, ranged/multipart selection, retries, identity/size verification and progress, but local code chooses DRS access URL, Globus path, cache destination, fresh-failure cleanup and Git-LFS cache semantics.	Keep local orchestration and pass selected options to Syfon download engine.	Download/cache tests for destination cleanup, resume checkpoint, object size and selected access URL.
downloadResolved	238-244	transfer/download.DownloadToPathWithOptions	inline-cleanup	The helper only supplies the same three DownloadOptions and adds no behavior.	Inline its options at DownloadResolvedToCachePath's call site and delete the wrapper; estimated net -2 lines.	Run internal/transfer download tests and go test ./internal/transfer.
resolvedDownloadIdentity;hasPlaceholderChecksum;verifyGlobusDownload	157-236	client/hash.ConvertDrsChecksumsToHashInfo;NormalizeChecksum	retain-git-integrity	Syfon hash conversion is useful, but local identity accepts DRS sha256/sha-256 representations, recognizes git-drs-placeholder, permits placeholder fallback and verifies Globus files with the requested size/checksum semantics.	Do not replace wholesale; only reuse hash normalization/conversion in local verification where behavior remains identical.	Checksum, placeholder and Globus verification tests including malformed/non-sha256 metadata.
resolvedSource;accessURLRequestor;resolvedAccessID;canRefreshAccessURL;refreshAccessURL;currentAccessURL;permanentDownloadStatus	246-388	transfer.ReadBackend;transfer.GenericDownload;transfer.NonRetryable;ErrRangeIgnored	retain-required-adapter	The Syfon ReadBackend is the right engine boundary, but this adapter injects DRS access headers, refreshes expiring access URLs on 401/403, maps permanent statuses, and reports ignored ranges. DataService readers cannot take the selected URL/header list.	Keep adapter; direct DataService.GetReader/GetRangeReader would lose headers, refresh, URL selection and retry classification.	HTTP adapter tests for headers, 401/403 refresh, permanent/transient status and range ignored.
globusLocator;GlobusDownload;isGlobusURL;parseGlobusURL;globusDestinationForCachePath;resolveGlobusDestination;normalizeGlobusRepositoryPath;transferGlobusToCachePath;DownloadGlobusBatch;removeGlobusDownloads	20-228	(no Syfon Globus implementation)	future-syfon-gap	Syfon transfer engines are provider-neutral and do not implement Globus collection/path mapping, destination confinement, task wait, batch grouping or cleanup.	Keep all Git-specific Globus code; a future Syfon Globus service would need to reproduce destination and verification contracts first.	Globus parse, destination, batch, failure cleanup and checksum/size verification tests.
batchSyncSession;BatchSyncForPushWithSummary;normalizeFiles;identifyUploadCandidates;hasLocalPayload;needsUpload;localObjectHasResolvableAccessMethod;splitCandidatesByThreshold	26-102;103-127;608-791	transfer/upload.Upload;DataService	retain-git-orchestration	Syfon Upload is a single-file byte-transfer orchestrator; it has no Git reachable-LFS inventory, DRS URI exclusion, reuse decision, threshold grouping, upload summary or concurrent plan.	Keep local inventory/scheduling; call Syfon upload only for each selected candidate as current code does.	Push plan tests for deduplication, hydrated/missing payloads, force-upload and threshold grouping.
lookupMetadata;lookupMetadataLegacy;chunkStrings;ensureMetadataRegistered	128-409	IndexService.Get/Create/Update/Upsert;DRSService.RegisterObjects	retain-compatibility-adapter	Syfon index methods are single-record and do not provide the local bulk hash lookup, legacy fallback, missing-SHA compatibility, scoped registration batching or error/response normalization.	Keep local lookup/registration until Syfon offers equivalent bulk and compatibility APIs; do not replace with per-record calls.	Metadata lookup/register tests for bulk path, legacy path, batching, duplicate and API error behavior.
metadataRecordForOID;missingSHA256Checksum;objectSHA256	410-444	client/hash.ConvertDrsChecksumsToHashInfo;NormalizeChecksum	retain-git-compatibility	Hash conversion can replace mechanical normalization, but local logic intentionally detects absent sha256 and preserves current DRS checksum precedence and compatibility behavior.	Keep local predicates; use Syfon hash helpers only in narrowly proven equivalent branches.	Checksum precedence and missing-sha256 compatibility tests.
findReusableRecord;buildReusableScopedObject;getOrCreateDRSObjectCandidate;scopedDRSObjectForPush;shouldPreserveExistingAccessMethodsForPush;firstAccessURL;parseStorageURL	445-607	DRSService.GetObject/RegisterObjects/UpdateObjectAccessMethods;access.AuthzMapFromScope	retain-domain-adapter	These preserve DRS IDs, aliases, descriptions, versions, project UUIDs, access methods and existing storage URLs while applying Git scope. Syfon service calls lack the reusable-record and preservation policy.	Keep local DRS object construction/reuse; reuse AuthzMapFromScope only for the already-migrated scoped upload metadata.	Push reuse tests for cross-scope records, existing access methods, storage URL parsing and metadata preservation.
executeUploadPlan;progressContextForCandidate;reportUploadStarted;reportUploadCompleted;buildUploadPlanSummary	679-790	transfer/upload.Upload;common.WithOid;common.WithProgress	retain-git-orchestration	Syfon supplies byte progress callbacks/retry/checkpointing, but local code controls concurrency, large-file serialization, candidate state, Git metadata phases and user-facing summaries.	Keep plan execution; continue passing Syfon progress context to each upload.	Concurrent push tests, cancellation/error propagation and progress event assertions.
uploadBackendForRuntime;uploadFileForObject;scopedUploadMetadata	24-29;145-205	DataService as MultipartBackend;transfer/upload.Upload;access.AuthzMapFromScope	exact-already-direct	Current code already delegates multipart initialization, part transfer, checkpoint/retry/completion and scoped authorization metadata to Syfon while retaining Git key/source/threshold decisions. This is the correct reuse boundary.	No further replacement; preserve force-multipart threshold and DRS scope construction.	Focused push runtime tests and upload engine tests for single/multipart paths.
newPushRuntime;pushScope;pushTuning;pushRuntime;uploadKeyFromObject;resolveUploadSourcePath	31-143	client/config.Credential;common.FileMetadata	retain-git-policy	Runtime scope, S3 key derivation, LFS cache confinement, hydrated worktree SHA verification and threshold tuning are Git-specific; Syfon types cannot infer them.	Keep local runtime/source resolution.	Source resolution tests for LFS cache, hydrated pointers, prefixes and invalid paths.
RefUpdate;UploadProgressPhase;MetadataProgressPhase;MetadataPlanSummary;MetadataProgressEvent;UploadPlanFile;UploadPlanSummary;UploadProgressEvent;UploadProgressReporter;PullFile	3-64	common.ProgressEvent;common.WithProgress;common.WithOid	retain-ui-contract	Syfon ProgressEvent is a low-level transfer callback; local progress types encode Git ref updates, metadata registration, plan/checking-out phases and renderer-facing state.	Keep public local progress contract; bridge only low-level upload byte events through Syfon common context.	Progress type/renderer tests and cmd/push/cmd/pull integration tests.
Renderer;NewRenderer;IsWriterTTY;SetClock;SetTTY;Render;Finish;Spinner;TrimLabel;RenderProgressBar;RenderPercent;RenderPercentCapped;FormatBinaryBytes;VisibleProgressBytes;RenderByteProgress;Spaces	13-244	common.FormatSize;common.ProgressEvent	retain-ui-code	Syfon FormatSize is decimal and has no TTY cursor, spinner, byte-progress-bar or completion semantics used by this CLI.	No replacement.	Renderer TTY/non-TTY, formatting and completion tests.
PullProgressRenderer;NewPullProgressRenderer;OnPlan;OnDownloadStart;OnDownloadProgress;OnCheckoutStart;OnCompleted;Finish;renderLine	8-184	common.ProgressEvent;WithProgress	retain-ui-code	Syfon reports transfer bytes only; local pull renderer owns plan/download/checking-out/completed phases and Git file labels.	Keep renderer; feed Syfon events through existing callbacks where applicable.	Pull progress phase and output tests.
UploadProgressRenderer;NewUploadProgressRenderer;OnMetadataPlan;OnMetadataProgress;OnUploadPlan;OnUploadProgress;Finish;HadUploads;Err;renderLine;renderMetadataLine	9-235	common.ProgressEvent;WithProgress	retain-ui-code	Syfon reports individual transfer progress, not local metadata registration, candidate planning, aggregate counts or CLI rendering.	Keep renderer and its local event aggregation.	Push progress plan/metadata/upload output tests.
addServerBucketScope	332-360	BucketsService.AddScope	exact-already-direct	The current Syfon client preserves endpoint, Bearer auth, 30-second HTTP client, body path/organization/project and accepted 200/201 statuses; only error formatting is structured by Syfon.	No change.	Existing cmd/bucket tests plus an httptest for path/body/auth/status.
upsertServerBucket;putBucketPayload	45-50;140-146;296-330	bucketapi.PutBucketRequest;BucketsService.Put	candidate-direct	Syfon Put sends the same PUT /data/buckets with Bearer auth and accepts 200/201, while replacing manual JSON/HTTP/error-body handling with generated fields and structured apierror. Generated Organization/ProjectId are required by the type but server accepts empty values for credential-only upsert.	Change payload to bucketapi.PutBucketRequest pointer credential fields, construct Syfon client with newBucketScopeHTTPClient, call Buckets().Put; remove manual bytes/json/io request code and local payload. Estimated net -18 to -22 lines.	Add httptest coverage for PUT path, auth, generated JSON fields, 200/201 and structured non-2xx errors; run go test ./cmd/bucket.
client.Client.downloadFile;cmd/pull;cmd/filter;cmd/smudge callers	client/client.go:150-167;cmd/pull;cmd/filter:99-103;cmd/smudge:82-92	internal/transfer.Download*;client/transfer/download	callers-retain	Callers need Git scope lookup, selected access URLs, Globus/cache behavior and local progress/checkouts; switching directly to Syfon DataService would bypass those contracts.	No caller migration beyond the wrapper inline above; keep public internal/transfer entry points.	Run focused transfer, client, pull, filter and smudge tests after any change.
