subject	verdict	corrected_disposition	corrected_removable_loc	evidence	risk	verification
internal/config	AGREES	keep	0	Local LoadConfig/UpdateRemote (internal/config/config.go:223-314,508-590) merge .git-drs/drs-policies.yaml with drs.remote.* and multi-valued Globus options; callers span remote/add, push, pull, query, filter, addurl, delete, lsfiles, ping, smudge, and remoteruntime. Upstream client/config.Manager.Load/Save (client/config/config.go:82-223) reads and writes ~/.gen3/gen3_client_config.ini credential profiles only; no remote/default/policy model.	Replacing it would lose clone-local remote selection, shared-policy precedence, endpoint/provider validation, Globus maps, and default-remote behavior.	Focused package suite PASS; exact-name scan found no equivalent upstream remote/policy API.
SYMBOL: internal/config.LoadConfig	AGREES	keep	0	Local LoadConfig loads shared YAML, go-git drs sections, then CLI git-config overrides (internal/config/config.go:508-590); production callers include cmd/remote/set.go, cmd/push/main.go, cmd/query/main.go, cmd/filter/main.go, cmd/addurl/run.go, and cmd/pull/main.go. Upstream Manager.Load (client/config/config.go:82-156) only selects a named credential INI profile.	Migrating would change drs.remote.* and shared-policy merge/override semantics in existing clones.	Focused internal/config tests PASS.
SYMBOL: internal/config.UpdateRemote	AGREES	keep	0	Local UpdateRemote writes typed remote fields, access method, Globus maps, and default remote into repository Git config (internal/config/config.go:223-314); upstream Manager.Save (client/config/config.go:159-223) writes credential fields under a user INI profile and has no Git-config writer.	Changing it would alter externally visible drs.remote.* keys and default selection.	Focused internal/config tests PASS.
SYMBOL: internal/config.ParseAPIEndpointFromToken	AGREES	keep	0	Local helper decodes unverified JWT iss into scheme plus host (internal/config/token.go:10-25), used by cmd/remote/add/gen3.go and cmd/bucket/main.go. Upstream IsTokenValid (client/config/validate.go:10-56) checks exp/iat only and exposes no endpoint inference.	Replacing it with token validation would remove Gen3 endpoint inference for imported credentials.	Focused internal/config tests PASS.
internal/drsobject	AGREES	keep	0	Local builder/object conversion and DRS JSON fanout store (internal/drsobject/object.go:30-200; store.go:13-58) are used by addurl, addref, pull, copyrecords, filter, and transfer/push. Upstream client/hash (client/hash/hash.go:83-199), client/access (client/access/resources.go:28-192), and transfer/upload.RegisterFile (client/transfer/upload/orchestrator.go:43-217) provide checksum/access conversion and remote registration/upload, but do not provide the local builder plus .git/drs/lfs/objects store.	Removing it risks legacy UUIDNamespace/project+checksum IDs, local DRS JSON hydration/push reconciliation, access URL shape, and controlled-access metadata.	Focused package suite PASS; exact-name and DrsObject-construction scan found no local-store replacement.
SYMBOL: internal/drsobject.NormalizeOid	AGREES	keep	0	Local NormalizeOid only trims whitespace and sha256: (internal/drsobject/object.go:20-27) and feeds deterministic IDs/cache reconciliation in transfer/push, addurl, and copyrecords. Upstream client/hash.NormalizeOid (client/hash/hash.go:178-191) lowercases and rejects every non-64-hex input, so it is not behavior-equivalent for existing malformed/uppercase identity values.	Blind substitution could change deterministic UUID/cache keys; migration policy would be required before adopting stricter validation.	Focused internal/drsobject and direct-importer tests PASS.
SYMBOL: internal/drsobject.BuildWithOptions	AGREES	keep	0	Local BuildWithOptions constructs a DRS object, checksum, self URI, provider access URL/type, and controlled-access claims (internal/drsobject/object.go:98-135). Upstream access helpers only map scopes; RegisterFile requires an already-built object and performs remote upload/registration, not local object construction.	Replacing it would change URL/provider/prefix and controlled-access metadata emitted into local and remote records.	Focused internal/drsobject tests PASS.
SYMBOL: internal/drsobject.WriteObject	AGREES	keep	0	Local WriteObject/ReadObject serialize DRS JSON under the two-level SHA256 fanout (internal/drsobject/store.go:13-58), called from addref, pull, copyrecords, filter, and addurl. Upstream transfer download writes payload destinations/checkpoint state, not DrsObject JSON at .git/drs/lfs/objects.	Deleting it abandons clone-local DRS metadata required for hydration and push reconciliation.	Focused internal/drsobject and direct-importer tests PASS.
internal/filter	AGREES	keep	0	Local package implements Git filter-process v2 pktline handshake/dispatch, clean/smudge, pointer parsing, indexed-pointer restoration, and .git/lfs/.git/drs cache integration (internal/filter/process.go:15-201; clean.go:22-189; smudge.go:17-82). Upstream transfer ReadBackend/GenericDownload and engine downloader (client/transfer/types.go:36-55; transfer/http.go:78-153; transfer/engine/downloader.go:39-112) are data-plane APIs with no filter protocol or pointer/cache semantics.	Replacing it would break filter.drs.process wire compatibility, LFS/DRS pointer preservation, and hydrated-worktree behavior.	Focused package suite PASS, including protocol and clean/smudge tests.
SYMBOL: internal/filter.NewGitFilter	AGREES	keep	0	NewGitFilter/Run perform Git filter-process v2 handshake, capability negotiation, request dispatch, status packets, and response framing (internal/filter/process.go:24-200); caller is cmd/filter/main.go. Upstream transfer.ReadBackend is only a reader/stat interface.	A transfer reader cannot serve Git's filter-process protocol or clean/smudge commands.	Focused internal/filter tests PASS.
