package	responsibility	disposition	replacement	production_loc	removable_loc	evidence	compatibility	verification	confidence
cmd/addref	CLI add-ref resolves a DRS URI or TSV manifest, validates source metadata, writes Git LFS reference pointers, and caches source DRS objects across configured Gen3/Terra remotes.	keep	No compatible upstream command; retain git-drs resolver/LFS/config orchestration and use upstream client.Client.DRS().GetObject for ordinary DRS lookups.	408	0	local cmd/addref/add-ref.go:33-110,168-286,322-410; call sites local cmd/root.go:56 and cmd/addref/add-ref.go:87,248,344-354,407; upstream client/services/drs_service.go:22-31 and client/client.go:102-145	The add-ref positional/manifest contract, source-host routing, Terra resolver, pointer authority metadata, and .git/drs persistence have no upstream command equivalent; upstream GetObject supplies normalized API errors but not Git integration.	green: go test ./cmd/addref ./cmd/addurl ./cmd/auth ./cmd/bucket ./cmd/copyrecords ./cmd/credentialhelper ./cmd/delete ./cmd/deleteproject ./cmd/ping ./cmd/query ./cmd/remote ./cmd/remote/add	 high
cmd/addurl	CLI add-url imports a provider URL/object key or recursive Globus selection into Git LFS pointers, pre-commit cache, and local DRS metadata, with remote inspection and optional manifest validation.	inline/merge	Keep the Git/LFS/Globus workflow; selectively consume upstream client/cloud.InspectObject, client/access authorization helpers, and client/services.IndexService.Upsert only if a separate server-record mode is intended.	1159	0	local cmd/addurl/main.go:13-50,run.go:46-158,inspect.go:24-67,globus_recursive.go:39-124,local_state.go:31-224; call sites local cmd/root.go:57 and cmd/addurl/main.go:23; upstream cmd/addurl/main.go:23-59, client/cloud/inspect.go:24-99, client/access/resources.go:26-38, client/services/index_service.go:158-232	Upstream add-url is a different CLI contract (--did/--url/--org) that upserts a server record; local add-url must preserve positional URL/key input, LFS pointer/cache writes, Globus recursion, and local metadata. Cloud inspection supports more providers upstream, while local server inspection intentionally supports only S3 at local cmd/addurl/inspect.go:29-47.	green: focused assigned-package go test	 high
SYMBOL:cmd/addurl/inspect.go	Remote object inspection maps /data/inspect responses into provider metadata and APIError-aware user messages.	keep	Retain server-backed inspect route; upstream client/cloud.InspectObject is a direct provider-side alternative, not a drop-in because local configured-bucket and remote-auth behavior differs.	121	0	local cmd/addurl/inspect.go:24-67,82-121 and call site local cmd/addurl/run.go:22,109; upstream client/cloud/inspect.go:60-99 and client/apierror/apierror.go:14-90	Local sends internalapi.InternalInspectObjectRequest and only accepts S3 in remote-backed mode; upstream InspectObject handles s3/gs/azblob/http metadata directly and requires cloud credentials, so replacing it would change auth and provider semantics.	green: focused assigned-package go test	 high
SYMBOL:cmd/addurl/local_state.go	Local-state helpers build/update .git/drs objects, placeholder OIDs, pre-commit mappings, safe pointer files, and LFS tracking.	keep	No upstream client equivalent; retain local drsobject/gitrepo/lfs/precommit_cache implementation.	281	0	local cmd/addurl/local_state.go:31-224 and call sites local cmd/addurl/run.go:130-154,cmd/addurl/globus_recursive.go:108-121; upstream client/client.go:196-217 exposes API services but no Git/LFS metadata store	The local filesystem and Git attributes side effects are the command's compatibility contract and are absent from upstream client/cloud, transfer, and services packages.	green: focused assigned-package go test	 high
SYMBOL:cmd/addurl/globus_recursive.go	Globus URL parsing, listing, wildcard matching, manifest comparison, and read-only tree safety implement recursive multi-file imports.	keep	No upstream Globus client/command replacement; retain internal/globusauth integration.	407	0	local cmd/addurl/globus_recursive.go:26-49,127-185,202-407 and call sites local cmd/addurl/run.go:65-72; upstream client/transfer/types.go:13-49 provides generic HTTP transfer interfaces but no Globus listing/auth	The Globus URL/manifest and multi-file destination contract has no upstream analogue; replacing with upstream HTTP transfer code would remove provider-specific behavior.	green: focused assigned-package go test	 high
cmd/auth	Hidden command group exposes Globus login, status, logout, and repeatable OAuth scopes for the transfer provider.	keep	No upstream cmd/auth or Globus authentication symbol; retain internal/globusauth.Login/Check/Logout.	67	0	local cmd/auth/main.go:5-11,globus.go:13-54; call sites local cmd/root.go:58 and cmd/addurl/globus_recursive.go:32,39-49; upstream client/transfer/types.go:13-49 has transfer interfaces only	The auth globus login/status/logout CLI and stored refresh-token behavior are outside the upstream client root/cloud/access/config/services/request/transfer API surface.	green: focused assigned-package go test	 high
cmd/bucket	CLI configures server bucket credentials and org/project scopes while persisting repository-local bucket mappings used by git-drs resolution.	inline/merge	Replace manual /data/buckets HTTP with client.Buckets().Put/AddScope/List/Delete/ListScopes/DeleteScope and construct clients through client.New/WithBearerToken or WithBasicAuth; retain gitrepo bucket mapping and remote credential resolution.	385	145	local cmd/bucket/main.go:97-225,228-359 and call sites local cmd/root.go:62,cmd/addurl/scope.go:10-26,internal/gitrepo/bucket_scope.go:16-72; upstream client/services/buckets_service.go:12-104,client/client.go:77-145	Upstream service methods normalize status/error handling and add list/remove operations, but upstream cmd/bucket/main.go:28-356 changes the CLI to bucket-first arguments and removes local mapping persistence. Preserve local --remote/--organization/--project/--path contract while migrating transport calls.	green: focused assigned-package go test	 high
SYMBOL:cmd/bucket/upsertServerBucket	Manual JSON PUT /data/buckets, bearer header, timeout, and status parsing duplicate the upstream bucket service.	replace/direct-import	client.Buckets().Put(ctx,bucketapi.PutBucketRequest) via client.NewClient; let client/request and apierror own auth/retry/error decoding.	35	35	local cmd/bucket/main.go:290-324 and call site local cmd/bucket/main.go:130-142; upstream client/services/buckets_service.go:31-40,client/request/transport.go:143-221,client/apierror/apierror.go:14-90	The local payload uses value fields while upstream bucketapi request uses pointer optionals; preserve CLI validation and map fields before calling Put. Upstream request transport also provides retry and refresh behavior absent from local http.Client.	green: focused assigned-package go test	 high
SYMBOL:cmd/bucket/addServerBucketScope	Manual JSON POST /data/buckets/{bucket}/scopes duplicates the upstream scope service.	replace/direct-import	client.Buckets().AddScope(ctx,bucket,bucketapi.AddBucketScopeRequest).	34	34	local cmd/bucket/main.go:326-359 and call site local cmd/bucket/main.go:214-220; upstream client/services/buckets_service.go:53-61	Preserve local scope path normalization and gitrepo.SetBucketMapping side effect; upstream AddScope accepts the wire request but does not write repository-local mappings.	green: focused assigned-package go test	 high
SYMBOL:cmd/bucket/addScope	Local validation, duplicate mapping guard, server scope write, and repository mapping persistence are git-drs-specific.	keep	Retain local cmd/bucket/main.go:178-225 and internal/gitrepo/bucket_map.go:32-105; call upstream BucketsService only for the server write.	48	0	local cmd/bucket/main.go:178-225 and call sites local cmd/bucket/main.go:160,174; upstream client/services/buckets_service.go:53-61	The --force duplicate guard and .git-drs/drs-policies mapping are not represented in upstream client/config or bucket service, so a whole-command replacement would break add-url/remote resolution.	green: focused assigned-package go test	 high
