upstream_package	upstream_symbol	local_symbols	relation	action	removable_loc	behavior_evidence	callsite_evidence	pin	confidence
client/services	ErrObjectNotFound	internal/lookup/lookup.go:46 uses errorapi.ErrNotFound, no deprecated service var	no_match	retain upstream compatibility alias; no local substitution	0	upstream alias is deprecated at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:11-12	git-drs production/tests have no ErrObjectNotFound callsite; errorapi use at internal/lookup/lookup.go:46	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService	github.com/calypr/syfon/client.Client is held by GitContext at internal/remoteruntime/runtime.go:22-24	no_match	retain service type; constructed by upstream client	0	service has private generated client at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:12-14	upstream root constructs it at /private/tmp/syfon-audit-20260917/client/client.go:202-203; no local replacement type	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	NewBucketsService	client/client.go:67-81 constructs the upstream client; no local constructor	no_match	retain constructor	0	constructor only stores bucket generated client at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:16-18	root initialization is upstream /private/tmp/syfon-audit-20260917/client/client.go:190-203; local client/client.go:67-81 only selects auth	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.List	cmd/ping/main.go:270-287; cmd/remote/add/bucket_lookup.go:88-112,120-147; internal/remoteruntime/bucket_lookup.go:19-45	local_policy_wrapper	keep existing service calls; split manual authenticated GETs from bucket-selection policy before any replacement	0	upstream calls generated ListBucketsWithResponse and requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:20-28; local manual GETs require status 200, decode the same payload, and add scope-selection policy	cmd/ping/main.go:270 already uses service; manual duplicate callsites are cmd/remote/add/bucket_lookup.go:88-112,120-147 and internal/remoteruntime/bucket_lookup.go:19-45; focused ping tests passed	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.Put	cmd/bucket/main.go:290-323 upsertServerBucket	local_policy_wrapper	split CLI payload/timeout/auth policy from generic Buckets.Put request before replacement	0	upstream sends generated PUT /data/buckets and accepts 200/201 with APIError at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:31-40; local sends same path/method and accepts 200/201 but uses custom timeout and text errors at cmd/bucket/main.go:290-323	callsite is cmd/bucket/main.go:225-240 -> upsertServerBucket at :290-323; existing bucket command contract and bearer-only API auth must be preserved	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.Delete	no production/test callsite	no_match	retain upstream API; no local deletion candidate	0	upstream sends generated DELETE /data/buckets/{bucket}, accepts 200/204 at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:42-51	git-drs production/tests rg found no bucket-delete callsite; bucket command only creates scopes at cmd/bucket/main.go:290-359	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.AddScope	cmd/bucket/main.go:326-359 addServerBucketScope	local_policy_wrapper	split CLI payload/timeout/auth policy from generic Buckets.AddScope before replacement	0	upstream sends generated POST /data/buckets/{bucket}/scopes and accepts 200/201 with APIError at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:53-62; local sends same path/method and accepts 200/201 but uses custom timeout/text errors at cmd/bucket/main.go:326-359	callsite is cmd/bucket/main.go:430-438 -> addServerBucketScope at :326-359; preserve CLI scope flags and bearer auth	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.DeleteScope	no production/test callsite	no_match	retain upstream API; no local deletion candidate	0	upstream omits blank project_id and accepts 200/204 at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:64-81	git-drs production/tests rg found no DeleteBucketScope callsite; no local bucket-scope delete command	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.ListScopes	no production/test callsite	no_match	retain upstream API; no local deletion candidate	0	upstream calls generated ListBucketScopes and requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:83-92	git-drs production/tests rg found no ListBucketScopes callsite; bucket visibility uses BucketsService.List at cmd/ping/main.go:270	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	BucketsService.DeleteProjectData	no production/test callsite	no_match	retain upstream API; no local deletion candidate	0	upstream calls generated DeleteProjectData and requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/buckets_service.go:94-103	git-drs deleteproject uses IndexService.DeleteByQuery at cmd/deleteproject/main.go:114, not bucket project-data deletion	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DRSService	internal/remoteruntime/runtime.go:22-24 stores upstream client; no local service type	no_match	retain service type; constructed by upstream client	0	service wraps generated DRS client at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:14-16	upstream root constructs it at /private/tmp/syfon-audit-20260917/client/client.go:181-200; local runtime stores the upstream client at internal/remoteruntime/runtime.go:22-24	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	NewDRSService	client/client.go:67-81 constructs upstream client; no local constructor	no_match	retain constructor	0	constructor stores generated DRS client at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:18-20	upstream initialization is /private/tmp/syfon-audit-20260917/client/client.go:181-200; local client/client.go:67-81 selects credentials only	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DRSService.GetObject	cmd/query/main.go:106; cmd/addref/add-ref.go:344-354; cmd/pull/main.go:150; internal/transfer/download.go:49	exact	keep direct service use	0	upstream GET /ga4gh/drs/v1/objects/{id}, requires JSON200 and maps non-200 through APIError at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:22-31	local callsites use Client.DRS().GetObject at cmd/query/main.go:106, cmd/addref/add-ref.go:344-354, cmd/pull/main.go:150, internal/transfer/download.go:49; addref tests assert object paths at cmd/addref/add-ref_test.go:267-318	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DRSService.DeleteObject	internal/transfer/delete_reconcile.go:88	exact	keep direct service use	0	upstream sends DELETE metadata=true and caller-selected deleteStorageData, accepts 200/204 at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:33-46	local reconciliation passes true at internal/transfer/delete_reconcile.go:88; test asserts DELETE path/body in internal/transfer/delete_reconcile_test.go:97-120, though network test is sandbox-listener blocked	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DRSService.GetAccessURL	internal/transfer/access.go:213; internal/transfer/push_runtime.go:93	exact	keep direct service use	0	upstream GET /ga4gh/drs/v1/objects/{id}/access/{accessID}, requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:48-57	local access planner calls Client.DRS().GetAccessURL at internal/transfer/access.go:213 and push availability check at internal/transfer/push_runtime.go:93; path assertions are internal/transfer/access_test.go:69-70	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DRSService.RegisterObjects	internal/transfer/push.go:371-381 uses InternalBulkCreate, not RegisterObjects	incompatible	retain generated bulk registration; no direct service replacement	0	upstream posts DRS RegisterObjects and requires JSON201 at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:59-68; local bulk registration posts internal bulk records and expects JSON201 records at internal/transfer/push.go:371-381	local callsite internal/transfer/push.go:371-381 has batch size and metadata policy; it is not the DRS registration payload/path	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DRSService.UpdateObjectAccessMethods	no production/test callsite	no_match	retain upstream API; no local deletion candidate	0	upstream PUTs access methods and requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/drs_service.go:70-80	git-drs production/tests rg found no UpdateObjectAccessMethods callsite; access selection reads methods and calls GetAccessURL instead at internal/transfer/access.go:203-217	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService	internal/transfer/push_runtime.go:25-30 obtains it as MultipartBackend	local_policy_wrapper	retain service as transfer backend; local push orchestration supplies Git policy around it	0	service combines generated internal API and HTTP transfer backend at /private/tmp/syfon-audit-20260917/client/services/data_api.go:13-37 and data_stream.go:23-45	local runtime returns Client.Data() as a MultipartBackend at internal/transfer/push_runtime.go:25-30; no local replacement type	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	NewDataService	client/client.go:67-81 constructs upstream client; no local constructor	no_match	retain constructor	0	constructor wires generated internal client, HTTP doer, logger, and DRS service at /private/tmp/syfon-audit-20260917/client/services/data_api.go:21-37	upstream initialization is /private/tmp/syfon-audit-20260917/client/client.go:187-203; local client/client.go:67-81 only selects credentials	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.UploadBlank	no production/test callsite	no_match	retain upstream API; generated endpoint has no local equivalent	0	upstream POST /data/upload/blank requires JSON201 at /private/tmp/syfon-audit-20260917/client/services/data_api.go:39-48	git-drs production/tests rg found no InternalUploadBlank or UploadBlank callsite; push uses transfer upload orchestration at internal/transfer/push_runtime.go:227-234	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.UploadURL	internal/transfer/push_runtime.go:247-258	exact	keep direct service use	0	upstream calls generated InternalUploadURL and requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/data_api.go:50-59; local adds a missing-URL guard after response	local scoped upload resolver passes organization/project/key at internal/transfer/push_runtime.go:246-258; focused transfer package compiled, network tests were listener-blocked	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.UploadBulk	no production/test callsite	no_match	retain upstream API; generated endpoint has no local equivalent	0	upstream POST /data/upload/bulk requires JSON200 at /private/tmp/syfon-audit-20260917/client/services/data_api.go:61-70	git-drs production/tests rg found no InternalUploadBulk or UploadBulk callsite; push uses syupload.Upload at internal/transfer/push_runtime.go:227-234	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.DownloadURL	no direct local call; local resolvedSource uses an already resolved access URL	local_policy_wrapper	retain local resolved-source policy; do not replace with URL resolution without preserving access-method refresh	0	upstream calls InternalDownload and accepts JSON200 at /private/tmp/syfon-audit-20260917/client/services/data_api.go:72-88	local download path resolves object/access policy in internal/transfer/download.go:49-146 and then downloads a supplied URL; no Client.Data().DownloadURL call	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.DeleteFile	no production/test callsite	no_match	retain upstream API; generated endpoint has no local equivalent	0	upstream DELETE /data/{guid} accepts 200/204 and returns guid at /private/tmp/syfon-audit-20260917/client/services/data_api.go:90-99	git-drs production/tests rg found no DataService.DeleteFile or InternalDelete callsite; delete commands remove index/DRS records instead	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.Delete	no production/test callsite	no_match	retain upstream API; generated endpoint has no local equivalent	0	upstream delegates to DeleteFile at /private/tmp/syfon-audit-20260917/client/services/data_api.go:101-104	git-drs production/tests rg found no Client.Data().Delete callsite; delete commands use DRSService or bulk index APIs at cmd/delete/main.go:123-139 and internal/transfer/delete_reconcile.go:88	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.Stat	internal/transfer/download.go:292-299 implements ReadBackend.Stat from known DRS metadata	local_policy_wrapper	retain known-object metadata policy; upstream Stat resolves/falls back differently	0	upstream first calls DRS.GetObject then falls back to ResolveDownloadURL at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:23-45; local returns expected size/identity from selected object at internal/transfer/download.go:292-299	local resolvedSource is intentionally used by DownloadResolvedToPath at internal/transfer/download.go:119-146; replacing it would alter retries/access policy	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.GetReader	internal/transfer/download.go:301-303	local_policy_wrapper	retain local access-URL refresh wrapper; no deletion until policy is split	0	upstream resolves a DRS download URL and then reads backend response at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:60-70; local reads a selected URL and can refresh on 401/403 at internal/transfer/download.go:301-303,313-343	local call path is internal/transfer/download.go:119-146; direct service substitution would change access-method selection and refresh semantics	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.GetRangeReader	internal/transfer/download.go:305-311	local_policy_wrapper	retain local range fallback and access refresh policy	0	upstream resolves a URL then handles range/200 fallback in /private/tmp/syfon-audit-20260917/client/services/data_stream.go:72-100; local preserves selected access URL and refreshes on 401/403 at internal/transfer/download.go:305-343	local range behavior is exercised by internal/transfer/download_test.go:213-286; package suite otherwise had sandbox listener failures	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.ResolveDownloadURL	no direct local call	no_match	retain upstream API; local download selects access methods before transfer	0	upstream calls DownloadURL and requires a URL field at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:143-152	git-drs production/tests rg found no ResolveDownloadURL callsite; local resolver uses internal/transfer/access.go:203-217 then resolvedSource at :301-343	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.Download	internal/transfer/download.go:313-343 uses sytransfer.GenericDownload with local retry/refresh policy	local_policy_wrapper	retain local download policy around generic transfer	0	upstream delegates to GenericDownload at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:154-156; local adds DRS access URL refresh, status classification, and range fallback at internal/transfer/download.go:313-343	local download tests cover retry/refresh at internal/transfer/download_test.go:338-426; no safe direct deletion candidate	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.ResolveUploadURL	internal/transfer/push_runtime.go:37-39,239-272	local_policy_wrapper	retain scoped upload resolver; split generic URL request from Git scope policy first	0	upstream derives one organization/project from FileMetadata, then calls UploadURL at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:158-177; local overrides the backend for scoped uploads and preserves scope policy at internal/transfer/push_runtime.go:37-39,239-272	push backend is selected at internal/transfer/push_runtime.go:25-30 and invoked by syupload.Upload at :227-234; organization/project requirements are Git-visible constraints	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.Upload	internal/transfer/push_runtime.go:25-30,227-234 via MultipartBackend	local_policy_wrapper	keep transfer orchestrator and Data backend boundary	0	upstream calls DoUpload at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:234-237; local syupload orchestrator adds Git path, threshold, progress, retry, and scope policy before invoking backend	local backend construction and callsites are internal/transfer/push_runtime.go:25-30,173-234; replacing with direct Upload would bypass multipart and Git progress contracts	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.UploadPart	internal/transfer/push_runtime.go:227-234 via DataService MultipartBackend	local_policy_wrapper	retain multipart engine; no direct replacement	0	upstream delegates to DoUpload and returns ETag at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:239-241; local engine handles part sizing/checkpoint/retry around backend at internal/transfer/push_runtime.go:227-234	multipart orchestration callsites are upstream engine contract and local push runtime at internal/transfer/push_runtime.go:220-234; persisted checkpoints must remain stable	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.Logger	internal/transfer/push_runtime.go:25-30 via MultipartBackend	exact	keep backend logger accessor	0	upstream returns configured transfer logger at /private/tmp/syfon-audit-20260917/client/services/data_stream.go:243-245	local engine acquires Data service as MultipartBackend at internal/transfer/push_runtime.go:25-30; no duplicate logger implementation	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.InitMultipartUploadWithMetadata	internal/transfer/push_runtime.go:227-234 indirectly through MultipartInit	exact	keep service backend method	0	upstream builds one validated scope and calls multipart init at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:71-101	local syupload engine obtains Data backend at internal/transfer/push_runtime.go:25-30 and invokes multipart workflow at :227-234; no local duplicate request builder	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.MultipartInit	internal/transfer/push_runtime.go:227-234 indirectly through MultipartBackend	exact	keep service backend method	0	upstream delegates to metadata-aware init and returns upload ID at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:103-106	local backend is passed to syupload.Upload at internal/transfer/push_runtime.go:227-234; upstream transfer engine invokes MultipartInit on that interface	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.MultipartPart	internal/transfer/push_runtime.go:227-234 indirectly through MultipartBackend	exact	keep service backend method	0	upstream requests presigned URL, uploads part, and returns ETag at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:108-131	local backend is invoked by the upstream multipart engine selected at internal/transfer/push_runtime.go:227-234; no duplicate local endpoint code	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.MultipartComplete	internal/transfer/push_runtime.go:227-234 indirectly through MultipartBackend	exact	keep service backend method	0	upstream delegates completion-with-location and preserves error semantics at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:133-136	local syupload engine invokes backend completion through internal/transfer/push_runtime.go:227-234; no local generated completion call	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.MultipartAbort	internal/transfer/push_runtime.go:227-234 optional engine interface	exact	keep optional abort support	0	upstream POSTs /data/multipart/abort with uploadId and requires 204 at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:138-170	local Data backend is supplied to upstream uploader at internal/transfer/push_runtime.go:227-234; no local abort request duplicate	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.MultipartCompletionReplaySafe	internal/transfer/push_runtime.go:227-234 optional engine interface	exact	keep idempotency declaration	0	upstream returns true for completion retry safety at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:172-175	local backend is passed to the uploader and optional replay-safe interface is discovered by upstream engine; no local duplicate	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.MultipartCompleteWithLocation	internal/transfer/push_runtime.go:227-234 optional engine interface	exact	keep optional location-aware completion	0	upstream accepts 200/201 and decodes optional object_url at /private/tmp/syfon-audit-20260917/client/services/data_multipart.go:177-191	local Data backend is passed to syupload.Upload at internal/transfer/push_runtime.go:227-234; no local completion endpoint duplicate	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DataService.CanonicalObjectURL	no production/test callsite	no_match	retain upstream API; no local deletion candidate	0	upstream normalizes provider URLs and DIDs at /private/tmp/syfon-audit-20260917/client/services/storage_url.go:9-75	git-drs production/tests rg found no CanonicalObjectURL callsite; local upload key policy is internal/transfer/push_runtime.go:104-134	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	HealthService	client/client.go:67-81 obtains upstream client; no local service type	no_match	retain service type; constructed by upstream client	0	service owns base URL and request doer at /private/tmp/syfon-audit-20260917/client/services/health_service.go:15-18	upstream root constructs it at /private/tmp/syfon-audit-20260917/client/client.go:197-200; local runtime stores upstream client at internal/remoteruntime/runtime.go:22-24	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	NewHealthService	client/client.go:67-81 constructs upstream client; no local constructor	no_match	retain constructor	0	constructor trims base URL and stores HTTP doer at /private/tmp/syfon-audit-20260917/client/services/health_service.go:20-22	upstream initialization is /private/tmp/syfon-audit-20260917/client/client.go:197-200; local client/client.go:67-81 selects auth	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	HealthService.Ping	cmd/ping/main.go:42	exact	keep direct service use	0	upstream GETs /healthz, accepts every status below 400, and maps error body through APIError at /private/tmp/syfon-audit-20260917/client/services/health_service.go:24-45	local ping calls Client.Health().Ping at cmd/ping/main.go:42; focused ping verification passed 5 tests including health output	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	HealthService.ServiceInfo (absent high-level method)	cmd/ping/main.go:224-248 pingTerraServiceInfo	no_match	retain manual Terra service-info GET; no high-level substitution exists	0	upstream HealthService only implements /healthz at /private/tmp/syfon-audit-20260917/client/services/health_service.go:24-45	local Terra adapter builds /ga4gh/drs/v1/service-info and requires 2xx at cmd/ping/main.go:224-248; focused ping service-info test passed	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	ListRecordsOptions	cmd/ping/main.go:210-215; cmd/deleteproject/main.go:57-61; cmd/copyrecords/api.go:73-94	exact	keep options type; use service options for raw-list migration	0	upstream exported fields map hash/url/org/project/limit/start/page at /private/tmp/syfon-audit-20260917/client/services/index_service.go:20-28	local uses the same type at cmd/ping/main.go:210-215, cmd/deleteproject/main.go:57-61, cmd/copyrecords/api.go:73-94	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	DeleteByQueryOptions	cmd/deleteproject/main.go:114-119	exact	keep options type	0	upstream options map organization/project/hash/hashType at /private/tmp/syfon-audit-20260917/client/services/index_service.go:30-35	local deleteproject supplies organization/project/hash/hashType at cmd/deleteproject/main.go:114-119; no duplicate option type	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	IndexService	internal/remoteruntime/runtime.go:22-24 stores upstream client; no local service type	no_match	retain service type; constructed by upstream client	0	service wraps generated internal API at /private/tmp/syfon-audit-20260917/client/services/index_service.go:37-39	upstream root constructs it at /private/tmp/syfon-audit-20260917/client/client.go:198-203; local runtime stores upstream client at internal/remoteruntime/runtime.go:22-24	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
client/services	NewIndexService	client/client.go:67-81 constructs upstream client; no local constructor	no_match	retain constructor	0	constructor stores generated internal client at /private/tmp/syfon-audit-20260917/client/services/index_service.go:41-43	upstream initialization is /private/tmp/syfon-audit-20260917/client/client.go:187-203; local client/client.go:67-81 selects credentials	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	medium
