upstream_package	upstream_symbol	local_symbols	relation	action	removable_loc	behavior_evidence	callsite_evidence	pin	confidence
client/common	FileMetadata	scopedUploadMetadata; scopedUploadURLBackend.ResolveUploadURL	local_policy_wrapper	Keep Git scope construction; pass the one-scope metadata through Syfon's resolver/engine	0	Upstream metadata is Authorizations/Aliases/Metadata at client/common/common.go:83-87 and uploadScopeFromMetadata trims, deduplicates, and rejects multiple scopes at client/services/data_stream.go:185-231; local emits exactly one trimmed organization/project pair at internal/transfer/push_runtime.go:275-285.	Production upload path constructs metadata at internal/transfer/push_runtime.go:224-234 and the wrapper consumes the engine resolver at internal/transfer/push_runtime.go:32-39.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/common	ProgressEvent; ProgressCallback; WithProgress; GetProgress; WithOid; GetOid	progressContextForCandidate; UploadProgressRenderer	local_policy_wrapper	Keep the Git batch progress adapter; do not duplicate Syfon byte-progress accounting	0	Syfon defines callback event/context state at client/common/progress.go:5-40 and emits thresholded single/multipart progress in client/transfer/engine/progress_reader.go:45-133 and uploader.go:535-546; local converts events into Git OID/path/phase records at internal/transfer/push.go:748-766 and renders metadata/file state at internal/transfer/progress_push.go:60-176.	cmd/push/main.go:102-111 creates the renderer and internal/transfer/push.go:699-727 invokes the callback-bearing upload path.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	ErrRangeIgnored	resolvedSource.GetRangeReader	exact	Direct-import already used; keep the local refresh/fallback policy around the sentinel	0	Syfon declares the range sentinel at client/transfer/types.go:11 and the local adapter returns it when a server ignores Range at internal/transfer/download.go:316-341.	internal/transfer/download.go:292-341 implements the ReadBackend consumed by the local download orchestrator; production search found no second range sentinel implementation.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	TransferLogger	resolvedSource.Logger; DataService.Logger	exact	Direct-import already used as the backend logging contract	0	Syfon defines the two-method logger contract at client/transfer/types.go:13-16; local resolvedSource returns a NoOpLogger at internal/transfer/download.go:288-290 and upstream DataService returns its logger at client/services/data_stream.go:243-245.	Generic download uses resolvedSource at internal/transfer/download.go:238-341; uploadBackendForRuntime returns DataService at internal/transfer/push_runtime.go:25-30.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	TransferLogger.Error	resolvedSource.Logger; DataService.Logger	exact	Keep provider/logger implementations; no local duplicate	0	The interface method is declared at client/transfer/types.go:13-16 and RetryAction calls it at client/transfer/retry.go:60-86; local providers satisfy the interface through the methods cited in the parent symbol row.	The upload engine reaches DataService through internal/transfer/push_runtime.go:220-234; local source search found no custom retry logger.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	TransferLogger.Printf	resolvedSource.Logger; DataService.Logger	exact	Keep provider/logger implementations; no local duplicate	0	The interface method is declared at client/transfer/types.go:13-16 and RetryAction uses it for retry messages at client/transfer/retry.go:60-86.	The only production upload caller is cmd/push/main.go:102-103 via internal/transfer/push.go:707-722; it passes through Syfon's logger.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	ObjectMetadata	resolvedSource.Stat	exact	Direct-import already used by the local read adapter	0	Syfon's provider-neutral fields are at client/transfer/types.go:18-24; local maps DRS size/range/provider/identity into the same type at internal/transfer/download.go:292-310.	internal/transfer/download.go:106-166 passes resolvedSource to sydownload.DownloadToPathWithOptions; no upload code reimplements metadata shape.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	TransferRequest	syupload.Upload call arguments	exact	Direct-import already used inside Syfon upload orchestration; keep local argument/key policy	0	Syfon carries source, key, GUID, bucket, FileMetadata, and ForceMultipart at client/transfer/types.go:26-34; client/transfer/upload/orchestrator.go:28-36 forwards those fields unchanged to engine.GenericUploader.	internal/transfer/push_runtime.go:227-234 calls syupload.Upload with the local key, DID, bucket, metadata, and force flag; no second local request struct exists.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	ReadBackend	resolvedSource	exact	Keep the local DRS/LFS read policy while satisfying Syfon's backend interface	0	Syfon requires Logger/Stat/GetReader/GetRangeReader at client/transfer/types.go:36-42; local resolvedSource provides all four at internal/transfer/download.go:267-341 and adds access-URL refresh policy.	internal/transfer/download.go:119-166 passes resolvedSource to sydownload.DownloadToPathWithOptions; production search found no second ReadBackend implementation.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
client/transfer	ReadBackend.Logger	resolvedSource.Logger	exact	Direct-import already used	0	Interface declaration at client/transfer/types.go:37-42; local method at internal/transfer/download.go:288-290.	Called through the upstream download engine from internal/transfer/download.go:119-166.	4612d42fc8353b9ea8be19253f0d1cd9b6736e83	high
